GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",50916271,51964912,53867248,60191100,64250725,67540241,69064064,79678123,84664940,94001636,100670615,102508868,103765098,102763260,96879197,99554717,100118525,97671640,104621812,107279707,109155616,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",48830336,49727709,51460076,57719317,61569423,64541748,66016685,76400213,80752287,89572663,95918898,97482108,99312713,98174479,92360269,94804333,95218178,92660417,99452894,101984064,103673285,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",169040,197919,244626,298776,258743,153953,188568,222698,271987,213539,201042,214077,191756,220790,224601,204870,214160,115652,170220,109479,158380,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",123002,155504,200391,242015,199480,101518,139932,179518,229116,164063,160990,175332,159112,186312,199327,178950,190397,80459,128633,66553,128277,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",46038,42415,44235,56761,59264,52435,48636,43180,42871,49476,40053,38745,32643,34478,25274,25919,23763,35193,41587,42926,30103,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",21876,27270,21970,35341,46122,47713,58778,57365,62506,86692,99736,56254,50311,96548,77807,102390,91913,113757,179604,250224,130882,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",66,-95,-196,-205,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",23017,28013,22412,34258,(D),44905,56390,54866,61615,84558,99250,55265,50142,95220,75117,100383,90024,111440,179114,250560,130986,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",(T),-648,-246,1288,(D),2808,2388,(D),(D),(D),(D),(D),(D),(D),2690,2007,1890,2317,491,-336,-105,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",1368074,1221919,1377861,1238720,1206631,1076751,1206617,1282165,1910280,2483567,2662836,2876093,3109120,2870108,2533658,3008370,3008278,3377319,2956436,2518271,2527892,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",1341673,1454849,1606790,1819468,1898484,1777536,2145513,2621144,3155648,3563905,3542998,2776818,2967315,2757005,2587423,2747891,2615711,2538375,2682859,2854908,2920422,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",6492490,6217572,6535113,6264099,6856937,9815724,9981728,13961080,14623844,20229959,20469342,20856727,12128697,12363510,10846317,11213649,12030803,11667182,12395851,10844778,10823399,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",3793864,3557001,2849075,2737787,3349110,2596232,3458403,2837570,3658942,4462148,4218577,4433394,5315225,7320683,6402579,7068001,7287457,6902835,7628174,6556393,6778964,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",14,"321","    Wood product manufacturing",14706,5848,-10767,-32945,-16768,759,-8414,-13240,-13443,-3041,33,8486,5036,(D),(D),(D),(D),8121,(D),22956,25899,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",74932,46872,131449,104796,79856,35820,19414,35991,28488,2449,33951,39422,23440,31235,62111,87243,48290,57706,70631,77136,73720,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",16,"331","    Primary metal manufacturing",90714,67848,73566,14829,18214,56627,-108858,84900,27367,122092,158595,138144,108739,140904,184191,127726,143106,95119,30698,(D),(D),(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",17,"332","    Fabricated metal product manufacturing",874865,1008854,805068,727111,433921,544281,496713,635533,952647,781250,871170,847119,851288,920989,980693,1195867,1364741,1027021,1202224,1302279,1316041,(NA)
 "09000","Connecticut",1,SAGDP7N,"Gross operating surplus","Thousands of dollars",18,"333","    Machinery manufacturing",849090,762659,848279,646267,1157724,751369,607525,423356,365582,509767,418799,416168,303842,172363,1562,436778,693434,633800,341247,342521,332056,(NA)
