GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",125861817,131803551,134768119,138847013,138596580,150177715,154895238,163615626,174576284,174830159,178153464,180648716,180542922,191979397,207943842,210686207,218939308,236362446,241414509,245683360,252776844,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",118066375,123952262,127091288,130360227,130408666,142183927,146911629,155454198,166018166,165822327,168677732,170386453,170131639,181436184,197038341,198960537,206895681,224051634,228928458,232944756,239695197,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",2456863,1981524,1396384,1942819,1754875,1406541,1592090,2380131,2009412,1982044,2095853,2191459,2457723,2475586,3834167,2927817,4241398,3540642,2074710,1736969,2577756,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",2275742,1803735,1227426,1756930,1572045,1239206,1416617,2189933,1837995,1798598,1941785,2041873,2325667,2354356,3688173,2753853,4048724,3306283,1816869,1482744,2333232,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",181121,177789,168958,185889,182830,167335,175472,190199,171417,183446,154068,149586,132056,121230,145994,173964,192674,234359,257841,254225,244524,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",332042,405725,346426,653747,468236,666723,771542,963152,1275661,1478682,1743806,2243065,1935838,1823632,2156932,1582511,3022396,6121849,5950866,6335815,9396587,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",113278,63443,46250,196539,213850,407943,433444,536201,704685,673036,732082,1039730,679530,538256,658162,479884,2049100,4968920,4931086,5676939,8733351,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",208755,341402,304747,464566,242196,252538,319968,359778,436443,493516,538536,739048,974565,1059147,1291343,939792,763396,805014,847314,624284,565552,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",10008,880,-4571,-7358,12191,6242,18130,67173,134534,312130,473187,464287,281742,226229,207427,162835,209899,347916,172466,34591,97685,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",4767174,4273813,4795664,4384379,4044204,3505591,3465255,3826078,3525579,4048260,4179445,4198759,4979705,5627603,5701982,5656866,5707667,6063664,5876093,5808534,5780174,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",3882437,4440662,4628270,4813146,4899072,4868026,5493433,6479591,6895631,6291115,5817763,4772628,4929425,4203927,4546316,5484382,5870599,5997498,6688101,7527281,8075545,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",32630165,35327895,32577925,32215980,28753984,32144993,32277716,36301494,38088081,38513383,37848507,33479627,29842150,34886987,41926182,40808225,42115706,50682775,47901452,46143411,46723642,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",20510303,22770413,19660863,20388415,15634068,17859271,18120550,21932035,24091707,22865376,22053372,19595920,8519699,13906953,17452624,18264346,18977956,21031140,21759140,22052982,21978303,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",14,"321","    Wood product manufacturing",273806,300474,262572,278270,204245,324156,100828,407426,381695,256234,222444,179632,186192,263016,281538,186126,215513,326484,279922,372605,426727,(NA)
 "39000","Ohio",3,SAGDP7N,"Gross operating surplus","Thousands of dollars",15,"327","    Nonmetallic mineral product manufacturing",1546492,1313668,1176893,1125136,854987,1061628,1032963,905439,797789,691460,775867,807671,816187,882544,994901,1298678,1455833,1342053,1352258,1349922,1309483,(NA)
