GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",1,"...","All industry total",21637211,23208126,24599806,25776746,26730639,28516409,30103877,32845449,37422416,43491272,46942530,46442912,46127512,49968365,52709728,52969871,54782142,57994327,61199236,63874762,67595457,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",2,"..."," Private industries",19167270,20815864,22109124,23246860,24184279,26010471,27613335,30341593,34591873,40348172,43718506,42912256,42729335,46552640,49002431,49287851,51069438,54022832,57079081,59511806,63086841,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",3,"11","  Agriculture, forestry, fishing and hunting",369700,412122,456883,424179,536171,316529,355664,461045,441491,288677,300314,309897,122535,356682,562093,469321,695104,773522,759473,535407,539873,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",4,"111-112","   Farms",304180,350539,399389,363929,474190,263423,321115,450770,431003,273273,279701,294383,106360,340006,546594,454852,675971,754477,741454,518563,525638,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",5,"113-115","   Forestry, fishing, and related activities",65519,61583,57494,60249,61981,53107,34549,10275,10489,15404,20613,15514,16176,16675,15499,14469,19133,19045,18019,16845,14236,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",6,"21","  Mining, quarrying, and oil and gas extraction",448516,368570,371741,454644,566736,450494,594026,880742,1573939,2055687,2354220,2773618,2476216,2853615,3182095,2539064,2437474,2657033,1152601,932460,1369703,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",7,"211","   Oil and gas extraction",63852,50886,74036,161929,229617,224164,357985,525989,841961,885379,1117256,1331554,840109,900652,954119,807076,924800,893706,226628,159599,334942,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",8,"212","   Mining (except oil and gas)",372600,307401,297534,273981,269433,189369,192189,283210,607137,866131,833778,962710,1426105,1712927,1923905,1411064,1236655,1478794,812460,751387,995628,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",9,"213","   Support activities for mining",12064,10283,171,18734,67686,36962,43851,71542,124841,304177,403186,479353,210001,240035,304070,320924,276020,284533,113513,21473,39134,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",10,"22","  Utilities",452139,413183,458578,433174,433985,381429,396091,459040,427756,516528,547373,596328,669212,761779,795048,882091,957587,1059559,1140263,1124451,1272640,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",11,"23","  Construction",1181878,1452886,1529662,1508792,1407997,1374826,1552132,1894540,2321472,2718221,3222688,2650274,1877824,1716412,1622501,2277941,2498835,3018877,3415087,3843470,4092510,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",12,"31-33","  Manufacturing",3164885,3259995,2984644,3526158,2501718,2985628,3531337,3822158,4482866,5614001,6165849,5799811,8557495,10142717,10565623,7920479,7838914,7446517,7906459,7202049,7983811,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",13,"321,327-339","   Durable goods manufacturing",2244912,2065793,1754514,2084187,1228888,1815492,2225203,2418097,3008625,3782632,4252466,4042546,5495539,6674853,6679342,5086155,4461350,4051964,4718348,4619578,5106170,(NA)
 "49000","Utah",7,SAGDP7N,"Gross operating surplus","Thousands of dollars",14,"321","    Wood product manufacturing",8498,14049,19974,24621,33143,-3592,87457,4073,17956,43129,34003,7873,2762,(D),(D),11670,18554,8301,9047,13933,21441,(NA)
