GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,IndustryId,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",1,"...","All industry total",70.576,74.152,79.096,82.272,83.298,85.925,90.260,100.657,109.100,113.407,112.778,108.451,99.375,100.612,101.320,100.000,100.179,101.528,105.769,108.788,112.254,116.976
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",2,"..."," Private industries",70.385,73.831,79.185,82.464,83.427,86.188,90.414,101.544,110.866,115.280,114.226,109.072,98.877,100.140,101.218,100.000,100.308,101.768,106.212,109.249,113.004,118.359
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",3,"11","  Agriculture, forestry, fishing and hunting",73.668,87.501,95.649,119.947,112.484,104.193,99.352,108.266,129.829,142.767,91.681,121.148,141.872,131.620,130.344,100.000,102.438,141.128,135.464,123.927,133.077,123.078
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",4,"111-112","   Farms",72.651,89.875,97.042,128.551,119.290,108.041,102.783,113.895,139.884,152.877,93.408,125.178,146.503,138.693,135.957,100.000,104.498,149.531,144.404,130.997,143.092,(NA)
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",5,"113-115","   Forestry, fishing, and related activities",73.921,70.290,82.170,75.802,76.443,82.119,79.419,76.556,75.136,86.719,77.906,93.476,109.879,90.116,96.348,100.000,89.921,92.773,84.977,81.960,79.212,(NA)
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",6,"21","  Mining, quarrying, and oil and gas extraction",68.806,76.133,78.548,78.858,68.912,68.676,74.117,76.745,72.711,92.268,88.610,90.970,82.911,97.810,108.456,100.000,83.692,67.771,58.977,69.511,85.441,77.083
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",7,"211","   Oil and gas extraction",121.513,76.741,76.701,58.864,53.438,101.776,54.709,68.676,50.847,65.961,64.435,66.606,107.010,81.423,83.049,100.000,74.554,70.540,112.044,123.716,112.270,(NA)
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",8,"212","   Mining (except oil and gas)",73.844,82.921,84.970,84.210,73.626,73.165,78.880,80.826,76.702,97.230,92.922,93.650,86.156,100.458,110.106,100.000,84.123,67.780,59.426,72.331,89.137,(NA)
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",9,"213","   Support activities for mining",14.788,10.678,13.800,19.723,17.011,17.879,20.248,26.716,24.495,31.991,35.048,53.937,39.311,61.938,86.385,100.000,78.467,67.299,53.522,39.839,46.689,(NA)
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",10,"22","  Utilities",68.686,65.899,80.739,82.218,78.336,85.966,84.635,95.503,84.496,92.622,93.853,96.888,96.067,100.699,96.642,100.000,99.085,95.815,96.594,96.306,94.278,93.751
 "32000","Nevada",8,SAGDP8N,"Quantity indexes for real GDP by state (2012=100.0)","Quantity index",11,"23","  Construction",239.622,240.965,233.296,215.173,198.589,190.981,207.247,248.202,287.094,282.478,262.624,211.329,180.968,155.702,138.880,100.000,91.393,92.237,103.220,109.323,118.466,127.346
