GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",1844539,1910543,1942033,2135002,2176127,2187367
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",590929,602742,636758,653109,642921,648588
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",349853,354544,379128,394546,387289,396836
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",4,"   Bicycling",4829,5173,5950,5893,5744,5283
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",90629,91678,96718,99831,99204,99675
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",1757,1757,1795,1846,1905,1904
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",14802,15537,18164,18845,17350,15726
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",8,"    Sailing",2029,2077,2256,2387,2550,2556
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",9,"    Other Boating",72041,72306,74503,76753,77400,79489
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",18163,19763,21376,23075,22707,22027
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",11,"   Equestrian",6333,6621,7508,7929,8596,9439
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",22386,25151,27255,29383,28600,29024
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",7720,8775,9517,10764,10416,10753
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",14666,16375,17738,18619,18184,18271
 "02000","Alaska",8,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",12679,12569,13049,13785,12983,13912
