GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",2456988,2543247,2602423,2736062,2853584,2887050
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1330616,1382591,1413065,1483363,1546497,1610115
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",938672,986078,1009188,1073123,1123819,1169862
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",12532,12501,12637,12825,14834,15506
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",192401,204288,215006,232080,245997,245991
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",5259,5743,6096,6648,7535,7508
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",41158,39766,36276,36113,37591,34949
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",8233,8537,9579,10454,11414,12056
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",137750,150243,163055,178865,189458,191477
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",31131,31857,32887,34198,35025,34441
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",95381,100632,111112,116100,121254,131499
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",89210,104086,103445,121530,116432,136219
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",42355,48163,47561,58884,55202,64708
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",46855,55923,55884,62647,61230,71511
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",55825,55816,55625,59021,61557,68216
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",7450,8241,8673,8748,8553,8600
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",17,"   RVing",94841,101286,107751,113252,116271,125510
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",4815,5047,5298,5119,4420,4871
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",1838,1947,2166,2151,1955,1968
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",2977,3100,3131,2968,2464,2903
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",68422,70175,72055,78273,97225,104523
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",54386,56222,56830,62038,81566,89419
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",14036,13953,15225,16235,15660,15104
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",286664,292149,284698,291976,302250,294485
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",391943,396513,403877,410240,422679,440253
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",30985,31325,32159,33827,35010,36367
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",29684,34218,35777,34192,37789,40479
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",28,"   Field Sports",22743,22433,23555,25543,30374,31890
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",130230,129693,126650,128783,140478,144598
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",49006,46420,51797,48070,39360,43458
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",23616,24510,26170,28168,24946,26098
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",25390,21910,25627,19902,14414,17360
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",59192,61341,62832,65726,66295,69596
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",46786,46899,48139,51058,50641,50812
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",23316,24185,22967,23041,22731,23053
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",1126373,1160656,1189358,1252699,1307086,1276935
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",37,"   Construction",28271,31289,38113,46641,51601,55028
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",38,"   Local Trips 6/",273200,281976,290019,296801,300099,298927
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",39,"   Travel and Tourism 7/",692021,704178,713132,753199,793380,753713
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",40,"    Food and Beverages",140944,124152,129807,138470,149436,138701
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",41,"    Lodging",210890,227594,218729,241173,269303,242948
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",42,"    Shopping and Souvenirs",195183,207754,216386,221890,229081,221172
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",43,"    Transportation",145004,144677,148210,151665,145560,150892
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",44,"   Government Expenditures",132881,143213,148094,156059,162006,169267
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",45,"    Federal Government",31807,34060,31900,31856,34535,35868
 "05000","Arkansas",5,SAOACTVA,"Thousands of dollars",46,"    State and Local Government",101074,109153,116194,124203,127471,133399
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
