GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",9516715,9810124,10279463,11115943,11915449,12319942
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",4782692,4955896,5091747,5369326,5463771,5744183
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",2936672,3058596,3120237,3326489,3385247,3565188
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",30154,32446,31977,32770,37134,37327
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",434123,438162,461034,491219,513999,542342
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",8739,8790,9136,9704,10560,11033
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",71310,72852,75260,83082,81921,78322
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",20392,20701,22209,23365,24857,25939
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",333683,335819,354428,375067,396661,427049
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",85143,89854,94005,98530,101262,98390
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",112666,120455,136649,142886,152072,170114
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",330037,375552,361589,413578,357556,386503
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",254630,286210,275170,317071,255782,271200
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",75407,89342,86419,96506,101774,115303
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",359956,360320,366570,378610,423425,486669
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",31648,32702,36237,37828,39270,37760
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",17,"   RVing",223824,244853,263104,281320,305255,351011
 "13000","Georgia",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",16717,16218,17558,18485,20477,20616
