GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",3685084,4015530,4015786,4284499,4178364,4794590
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1107321,1145550,1162379,1183432,1195517,1219503
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",514664,533117,536362,549844,554997,567859
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",4,"   Bicycling",6437,6493,6489,6469,6585,6738
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",109975,110588,114868,120073,122067,127848
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",1976,1955,2011,2079,2129,2184
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",13608,13364,13366,13910,13334,14127
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",8,"    Sailing",5225,5445,5812,6244,6686,6892
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",9,"    Other Boating",89167,89824,93679,97839,99918,104645
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",11406,12208,12417,12886,13285,13056
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",11,"   Equestrian",9344,10475,11356,11779,12431,12920
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",13571,14721,14798,15699,16106,16830
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",2298,2586,2482,2771,2797,2880
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",11273,12135,12316,12928,13309,13950
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",25962,24236,25580,26018,24640,24111
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",3507,3657,3800,3549,3165,3475
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",17,"   RVing",23235,23472,24383,25104,24386,25590
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",6467,7024,6792,6540,5421,5899
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",2717,3364,3226,3282,3151,3057
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",3750,3660,3566,3258,2270,2843
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",40062,41585,41581,41478,40607,41703
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",33859,35353,35192,35188,34864,36421
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",6204,6231,6389,6290,5743,5282
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",264695,278658,274297,280250,286305,289689
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",592657,612433,626017,633588,640519,651644
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",24822,25847,26801,28442,28760,29675
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",19228,19955,21654,20534,21159,20097
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",28,"   Field Sports",17623,17676,18445,18945,19043,19629
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",179548,180493,184896,185774,185600,181338
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",251609,263184,268802,270244,274401,284547
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",141296,144147,145400,149490,150079,158927
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",110313,119037,123401,120754,124321,125620
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",21044,21835,22423,23433,23941,26201
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",67190,67209,68632,71224,72599,74839
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",11594,16235,14364,14993,15016,15319
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",2577763,2869979,2853407,3101067,2982848,3575086
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",37,"   Construction",35601,37624,39631,57739,67654,71913
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",38,"   Local Trips 6/",194677,205781,202832,214956,202375,227905
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",39,"   Travel and Tourism 7/",2172934,2433221,2409828,2620012,2504781,3057638
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",40,"    Food and Beverages",453875,401741,397448,439695,437190,518986
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",41,"    Lodging",667624,760147,653286,725472,583127,816190
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",42,"    Shopping and Souvenirs",118895,127858,125274,131747,129953,151221
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",43,"    Transportation",932540,1143475,1233819,1323099,1354512,1571241
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",44,"   Government Expenditures",174551,193353,201116,208361,208038,217630
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",45,"    Federal Government",45894,52795,51196,51797,54888,55819
 "15000","Hawaii",8,SAOACTVA,"Thousands of dollars",46,"    State and Local Government",128657,140558,149920,156563,153150,161812
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
