GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",7875240,8254086,8449828,8503596,8600004,9658524
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",5259038,5629560,5729072,5751279,5903291,6921525
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",3603881,3925102,4003317,4089712,4344652,5193968
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",4,"   Bicycling",31165,32078,31812,30544,35436,39781
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",449447,451600,454981,476239,489304,516539
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",11543,11301,11686,12538,14178,14267
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",46706,46277,47605,47871,47943,47475
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",8,"    Sailing",17570,17635,18671,19787,20840,22191
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",9,"    Other Boating",373628,376387,377018,396044,406344,432605
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",55775,57434,58737,59727,61286,60470
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",11,"   Equestrian",148425,167461,154405,162126,191410,359391
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",92055,104650,101869,109734,111729,119480
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",36960,42029,41176,47457,47805,52321
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",55096,62621,60693,62277,63924,67159
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",149082,142560,144772,149925,155876,164744
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",21867,22242,23617,22298,21249,21746
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",17,"   RVing",1698258,1998786,2091885,2137926,2333000,2878685
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",44638,41367,43848,42800,40099,44666
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",17707,17320,19038,19898,20288,20590
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",26930,24047,24810,22901,19811,24076
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",238693,225795,239618,246454,249194,259009
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",138268,136611,137230,133327,126214,136855
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",100424,89183,102388,113127,122981,122154
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",674477,681130,657771,651940,656069,729457
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",1655157,1704459,1725755,1661567,1558639,1727556
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",72149,74385,77833,84932,90217,96387
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",222712,240254,259888,253082,275133,290061
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",28,"   Field Sports",48452,47763,50491,51379,52033,52191
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",272135,269362,265517,262593,267224,268160
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",653089,682668,674926,590434,453010,590965
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",194059,201220,236109,238516,225473,245053
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",459030,481447,438818,351918,227537,345912
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",170118,173541,179895,188944,194340,202534
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",124406,122304,127999,138426,136909,138692
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",92095,94182,89206,91777,89773,88566
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",2616203,2624525,2720756,2752317,2696713,2736999
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",37,"   Construction",110499,69335,75111,91957,105153,113686
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",38,"   Local Trips 6/",713942,705743,730052,714219,664481,685165
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",39,"   Travel and Tourism 7/",1582003,1618200,1666535,1670183,1635477,1632140
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",40,"    Food and Beverages",214255,187112,193535,214082,216161,199006
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",41,"    Lodging",252486,275206,267507,305198,301525,273237
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",42,"    Shopping and Souvenirs",493073,519468,547536,552086,556928,551241
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",43,"    Transportation",622189,636415,657958,598816,560863,608657
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",44,"   Government Expenditures",209759,231247,249058,275959,291602,306008
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",45,"    Federal Government",22302,23848,21516,20184,20056,20051
 "18000","Indiana",3,SAOACTVA,"Thousands of dollars",46,"    State and Local Government",187457,207399,227541,255774,271545,285957
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
