GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",2851792,2829197,2872986,2930473,2892211,2918117
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1533716,1550025,1574878,1606449,1584817,1613819
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",977205,984164,998816,1021050,996219,1019262
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",4,"   Bicycling",7811,9249,9120,9094,9499,8850
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",125952,128356,130466,131738,128579,128938
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",2932,3023,2986,3013,3166,3132
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",23826,25897,26412,27209,26531,25189
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",8,"    Sailing",4118,4160,4439,4475,4422,4225
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",9,"    Other Boating",95077,95276,96630,97041,94460,96391
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",26466,30505,30687,31289,31791,29162
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",11,"   Equestrian",100319,104533,122743,128949,135509,148967
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",78743,93163,90128,100083,95307,100617
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",42846,49425,48376,56207,51276,54055
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",35897,43738,41752,43876,44031,46562
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",79136,72365,71646,70396,66416,67120
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",36602,33217,36266,36976,37511,35758
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",17,"   RVing",86352,84367,86691,85462,83780,90201
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",18470,16753,16208,14173,10534,11752
 "20000","Kansas",4,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",2804,3029,3228,3245,2884,2791
