GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",2389830,2428412,2459751,2509242,2476126,2629162
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1143475,1171752,1182664,1212709,1198967,1269053
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",779844,802444,812499,842788,839224,891794
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",5539,5556,5588,5578,6001,6029
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",99265,99319,100617,105472,107140,114900
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",1997,1993,2034,2158,2358,2431
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",23811,23588,24066,24977,24729,24725
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",3482,3592,3818,4067,4350,4363
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",69975,70146,70699,74270,75703,83381
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",19490,19844,20669,21179,20964,20908
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",68609,72184,77902,80171,83919,90911
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",63600,75030,74870,85552,80181,97168
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",32283,37368,37122,45265,41524,50934
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",31317,37662,37748,40286,38657,46234
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",47091,46075,47119,49027,47609,51655
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",12085,12290,13015,12562,11927,13158
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",17,"   RVing",81636,81365,83998,92443,94452,101986
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",21184,20943,21285,20727,17186,21077
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",4696,4617,5272,5602,4810,4738
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",16488,16326,16013,15125,12376,16339
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",80054,80592,80942,80541,76232,82781
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",70441,71146,71059,70121,65851,73024
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",9613,9446,9883,10420,10381,9757
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",281290,289248,286495,289536,293613,291219
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",363631,369307,370165,369921,359743,377259
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",19815,20627,21409,22984,24031,24866
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",6346,6862,7304,6832,7366,7477
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",28,"   Field Sports",17788,17233,18020,18818,19020,18971
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",29,"   Game Areas (includes Golfing and Tennis)",105968,103209,98560,96142,96164,95054
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",30,"   Guided Tours/Outfitted Travel",83221,87576,91143,89150,80302,94484
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",31,"    Air and Land Guided Tours/Outfitted Travel",38773,42005,48199,53167,54612,56308
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",32,"    Water Guided Tours/Outfitted Travel (includes Boating and Fishing Charters)",44447,45571,42944,35983,25690,38176
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",33,"   Productive Activities (includes Gardening)",68390,71207,71518,71220,69315,72243
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",34,"   Other Outdoor Recreation Activities 5/",41293,41101,41772,43583,43175,43642
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",35,"   Multi-use Apparel and Accessories (Other) 4/",20812,21492,20440,21192,20369,20522
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",36," Supporting Outdoor Recreation",1246355,1256660,1277087,1296532,1277159,1360109
 "28000","Mississippi",5,SAOACTVA,"Thousands of dollars",37,"   Construction",42828,36881,32602,30171,31527,32660
