GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",10008493,10264854,10570399,11424545,11472652,11936052
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",4560743,4728609,4850709,5171640,5212017,5482809
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",2775815,2883421,2928559,3108887,3172686,3329353
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",33255,34421,34483,34396,37453,38208
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",514745,517138,523809,541358,565509,601451
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",13189,13022,12911,13214,14449,15691
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",83210,84787,86135,89499,90671,89655
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",22584,22796,24464,25692,27709,29149
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",395762,396533,400299,412953,432680,466956
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",104359,106420,108921,111910,115431,116366
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",141840,148481,165261,172337,182553,202930
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",118921,134393,127466,136274,137905,156086
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",55126,60272,55925,59962,57196,65308
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",63794,74121,71541,76312,80709,90778
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",181524,182308,180297,186642,184562,191048
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",14470,15413,16031,16775,17782,18132
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",17,"   RVing",264011,266494,268361,311840,318680,351652
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",45891,44887,48900,52007,53410,53031
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",30153,30470,32741,34594,35626,36089
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",15738,14417,16159,17414,17784,16942
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",206065,210872,217448,228003,235584,239533
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",152438,160239,163516,171384,178934,182951
 "37000","North Carolina",5,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",53628,50633,53932,56619,56651,56582
