GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",1984716,2037836,2038786,2137538,2179843,2273407
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1117175,1170005,1162537,1186679,1209720,1317491
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",728016,774576,769085,787858,806086,889006
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",4,"   Bicycling",8778,9631,8361,7963,9677,10928
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",80553,83183,82915,83433,84061,92293
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",1549,1629,1688,1757,1832,1954
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",17635,17663,17257,17512,17621,18153
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",8,"    Sailing",2074,2261,2453,2610,2753,2809
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",9,"    Other Boating",59295,61629,61517,61555,61854,69378
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",19852,20478,20671,21118,21631,21865
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",11,"   Equestrian",95884,100412,114443,117082,121830,130307
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",48588,56629,55718,63949,64031,77383
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",21703,24536,24193,28999,28410,34316
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",26885,32093,31525,34950,35621,43067
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",157764,173744,161137,158784,161628,190414
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",4278,4752,4993,5159,5357,5318
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",17,"   RVing",54322,56060,58949,62650,63361,65735
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",8016,7756,8277,8566,9164,9300
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",2893,3060,3388,3431,3050,3120
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",5123,4696,4889,5135,6115,6180
 "31000","Nebraska",4,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",46687,48114,48817,50380,51260,52882
