GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",10036876,9998758,10388895,10837646,11243194,11222802
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",4855345,4932373,5100829,5253059,5295866,5387847
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",2971437,3038429,3144086,3257486,3260609,3252606
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",4,"   Bicycling",51028,50099,51872,51348,52510,49949
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",483203,483868,513455,528270,555560,576794
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",11634,11876,12560,12244,13153,13632
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",45572,43946,43365,44265,41993,39979
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",8,"    Sailing",41903,41249,44594,46765,51558,53550
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",9,"    Other Boating",384094,386797,412936,424997,448856,469633
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",67088,69939,71666,74246,76657,73574
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",11,"   Equestrian",58650,62168,73149,77838,82277,89046
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",70263,77783,75162,82420,77448,84878
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",37249,41408,39191,43857,37475,41391
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",33015,36376,35971,38563,39973,43487
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",145743,137749,150071,159744,161028,161359
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",18590,20179,21032,21644,22264,23911
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",17,"   RVing",236863,254461,263985,259153,263088,263841
 "34000","New Jersey",2,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",89645,83244,91439,95354,95617,94839
