GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",2078408,2159564,2163900,2280052,2269033,2314310
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",784014,796707,810199,834567,844842,879353
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",557157,565183,576166,597706,607019,634520
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",4,"   Bicycling",7204,7334,7172,6850,7073,7178
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",52613,52625,55741,57541,57483,58572
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",742,744,788,817,849,869
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",9916,9881,9853,9819,9781,10227
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",8,"    Sailing",2180,2312,2515,2574,2588,2570
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",9,"    Other Boating",39775,39688,42585,44332,44266,44906
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",13495,14427,14603,14967,15114,15116
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",11,"   Equestrian",61231,62189,67516,71025,75169,81446
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",15755,17596,16834,17729,18359,19896
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",5271,5854,5544,6110,6390,7070
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",10484,11742,11290,11619,11969,12825
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",33355,32314,35652,37508,35231,35255
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",5705,5885,6194,6035,5765,5959
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",17,"   RVing",81600,80446,81902,87603,86485,89462
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",59813,57752,62570,68002,74821,85949
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",37565,37287,40124,43745,49628,58260
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",22248,20465,22446,24256,25194,27689
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",41722,42162,42403,42206,40291,41946
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",38071,38603,38576,38202,36360,38151
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",3651,3560,3827,4005,3931,3795
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",184665,192453,185580,188240,191227,193743
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",226856,231524,234033,236861,237823,244833
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",17906,18376,19150,20540,21592,23108
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",12077,12767,13742,12829,13803,13573
 "35000","New Mexico",6,SAOACTVA,"Thousands of dollars",28,"   Field Sports",12217,12144,12551,12710,12810,13076
