GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",3639990,3687553,3806420,4051605,4282503,4462542
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",1605540,1652438,1696517,1760900,1807163,1885787
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",933540,968938,991926,1044254,1068156,1109185
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",4,"   Bicycling",11023,11076,11017,10570,11851,11532
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",110146,110409,117401,125326,135293,147494
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",1817,1853,2011,2131,2251,2480
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",13412,13345,13258,13291,13255,13090
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",8,"    Sailing",7003,6851,7304,7580,8029,8347
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",9,"    Other Boating",87914,88359,94827,102323,111758,123577
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",17379,18358,18844,19638,19937,20053
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",11,"   Equestrian",26432,27152,30227,31767,34405,39066
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",46986,53905,51577,56089,58818,65656
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",16221,18663,17584,19961,20773,23196
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",30765,35242,33994,36128,38045,42460
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",47373,45406,47579,52085,54146,54141
 "32000","Nevada",8,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",5060,5129,5379,5588,5978,6319
