GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",9207406,9276974,9535872,9841550,9825499,10167019
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",5340225,5393840,5501459,5657514,5724863,6042502
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",3120029,3133693,3180715,3292447,3302290,3509001
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",4,"   Bicycling",55888,56325,56660,55202,59744,58412
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",415712,420958,442513,466798,477923,495138
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",8029,8087,8542,8926,9557,10026
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",69574,70506,71432,74524,75500,73303
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",8,"    Sailing",28055,28324,30509,32317,33991,34228
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",9,"    Other Boating",310054,314041,332030,351032,358875,377580
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",115351,118741,122228,129240,125912,122859
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",11,"   Equestrian",173221,180732,202645,212228,226487,260442
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",191523,219840,209341,228712,233777,248634
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",78712,89549,85450,97636,97644,104350
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",112812,130291,123891,131075,136133,144284
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",224252,218559,228266,240035,234181,230892
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",33529,35926,38205,37293,34788,35693
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",17,"   RVing",424366,464294,489612,516179,525346,599483
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",66256,67882,73038,73873,64752,66173
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",27136,27148,29903,31873,31511,31894
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",39121,40734,43136,42000,33241,34280
 "39000","Ohio",3,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",290503,288934,295167,297070,279464,284714
