GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",11397994,11578536,11862703,12626660,12912716,13173567
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",6556790,6690006,6847861,6993539,7077061,7294046
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",3912947,3996393,4041234,4142282,4198406,4300774
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",4,"   Bicycling",69371,78798,78036,76095,105190,108023
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",430298,427665,448544,467001,471163,474598
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",7070,7074,7600,7758,7926,8272
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",81766,80263,78992,81494,80093,78788
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",8,"    Sailing",14685,14835,16071,16909,17496,17529
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",9,"    Other Boating",326777,325493,345882,360840,365648,370009
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",117178,121138,125156,129609,128857,124370
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",11,"   Equestrian",178757,188936,211773,221200,234667,258986
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",224315,252564,235803,255429,243241,266388
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",110591,123214,114528,128097,114736,125352
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",113724,129350,121276,127332,128504,141036
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",393351,418749,421472,453265,483578,491306
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",30063,31577,33518,34522,34995,35670
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",17,"   RVing",416509,427535,441055,462786,464089,479694
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",196561,192180,212350,229304,232471,230038
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",128517,128551,140090,150311,154246,155536
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",20,"    Other Snow Activities (includes Snowmobiling) 1/",68044,63628,72260,78993,78225,74502
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",21,"   Other Conventional Outdoor Recreation Activities",267391,269394,278204,299537,315859,322209
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",22,"    Other Conventional Air and Land Activities 2/",226932,230444,236704,254582,269688,276884
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",23,"    Other Conventional Water Activities 3/",40460,38950,41501,44955,46170,45325
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",24,"   Multi-use Apparel and Accessories (Conventional) 4/",1589154,1587857,1555321,1513534,1484296,1509493
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",25,"  Other Outdoor Recreation",2643843,2693614,2806627,2851257,2878656,2993272
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",26,"   Amusement Parks/Water Parks",222350,220615,226413,237516,249491,274095
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",27,"   Festivals/Sporting Events/Concerts",490900,526944,581834,577406,624191,645234
 "42000","Pennsylvania",2,SAOACTVA,"Thousands of dollars",28,"   Field Sports",99783,98232,102625,107415,110757,111039
