GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",5399768,5507544,5659934,6038053,6098458,6853918
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",2545809,2660883,2712376,2833249,2914267,3176885
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",1652751,1758494,1793034,1896711,1967064,2162875
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",4,"   Bicycling",16081,16638,16929,17484,19700,21021
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",313015,324587,335105,363236,399618,434601
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",8247,8635,8838,9769,11600,12799
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",34390,35782,37501,40694,44290,44422
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",8,"    Sailing",17556,17609,18926,20048,21797,22989
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",9,"    Other Boating",252822,262561,269840,292725,321931,354392
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",37064,38723,40397,43027,43965,43542
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",11,"   Equestrian",51583,55646,56710,59809,66839,89082
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",159285,189120,183300,214857,213630,252189
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",94179,110049,107059,130185,123331,148215
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",65106,79071,76241,84672,90299,103974
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",134849,133283,125436,123765,132323,155856
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",11688,12589,13939,14889,15915,15692
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",17,"   RVing",281548,315270,336154,351302,345807,384926
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",18,"   Snow Activities",5449,5197,5315,5373,5962,6649
 "45000","South Carolina",5,SAOACTVA,"Thousands of dollars",19,"    Skiing/Snowboarding",2205,2397,2512,2587,2435,2520
