GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",1,"Total Outdoor Recreation",9049786,9230475,9685627,10467452,10889075,11535055
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",2," Total Core Outdoor Recreation",4799107,4986167,5183954,5566903,5774475,6082274
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",3,"  Conventional Outdoor Recreation",2855615,2975178,3039626,3206046,3288361,3455420
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",4,"   Bicycling",52867,53650,54530,55224,59111,61859
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",5,"   Boating/Fishing",593790,605747,615262,636434,642621,662066
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",6,"    Canoeing/Kayaking",16287,16668,16392,16746,17641,18048
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",7,"    Fishing (excludes Boating)",89211,90555,93681,102614,102315,104570
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",8,"    Sailing",24197,24338,26155,27317,28767,29273
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",9,"    Other Boating",464096,474187,479034,489757,493898,510175
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",10,"   Climbing/Hiking/Tent Camping",118853,121177,125340,130658,131527,138228
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",11,"   Equestrian",140445,147892,165242,173289,185092,205266
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",12,"   Hunting/Shooting/Trapping",122045,135073,128292,138289,136012,149355
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",13,"    Hunting/Trapping",55022,59304,54617,58443,52911,57629
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",14,"    Shooting (includes Archery)",67022,75770,73675,79846,83102,91726
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",15,"   Motorcycling/ATVing",141914,136149,143015,154452,158855,170147
 "53000","Washington",8,SAOACTVA,"Thousands of dollars",16,"   Recreational Flying",114007,113683,131584,157605,163917,154445
