GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",1,"All Industries",3507693,3510260,3667678,3851679,4049782,4327385
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",2," Private Industries",3150803,3141693,3294857,3468460,3652177,3911667
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",26385,25088,27258,27783,28205,28826
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",4,"  Mining",402,348,294,244,217,407
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",5,"  Utilities",5,6,5,6,7,7
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",6,"  Construction",59474,60570,50562,42665,48976,55847
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",130736,131577,131753,141942,151057,171258
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",8,"   Durable goods",102730,101994,99976,108552,116213,137813
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",28006,29582,31777,33389,34845,33444
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",149889,145024,147059,151252,145484,148701
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",11,"  Retail trade",863304,896437,925604,964714,986834,1033321
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",427810,419183,422140,448308,477865,488238
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",13,"  Information",5921,6332,6759,7105,7434,8006
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",72065,72283,68278,78397,82288,87207
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",24831,23984,24014,25416,26213,28539
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",47234,48298,44264,52981,56075,58668
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",116723,107060,113962,129447,136795,163315
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",37192,37358,40411,41730,43219,44406
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",19,"   Educational services",31519,31772,34466,35432,36605,37449
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",5673,5587,5945,6298,6614,6956
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1221091,1199004,1317045,1388259,1494487,1629962
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",560524,583879,635085,654437,710051,748683
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",660567,615126,681960,733822,784436,881278
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",39806,41423,43725,46609,49309,52169
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",25," Government",356891,368566,372820,383218,397605,415717
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",26,"  Federal",77020,82333,78486,79383,84816,87878
 "04000","Arizona",6,SAOCOMP,"Thousands of dollars",27,"  State and local",279871,286234,294335,303835,312789,327840
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
