GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",1,"All Industries",6810812,6819819,6941225,7221319,7501624,7737696
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",2," Private Industries",5764086,5758965,5866344,6119591,6380090,6571896
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",49585,46827,48010,48267,47674,50825
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",4,"  Mining",2736,2263,1747,1335,1171,2515
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",5,"  Utilities",11,13,11,13,14,14
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",6,"  Construction",167966,141679,138944,134149,150459,166167
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",656753,672900,679659,691735,686748,731439
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",8,"   Durable goods",366802,369966,365835,370151,339808,380822
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",289951,302934,313824,321584,346940,350617
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",470494,456993,476807,490887,479786,493297
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",11,"  Retail trade",1456839,1506027,1487427,1533402,1539570,1547051
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",857463,880392,892930,976553,1058078,1083316
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",13,"  Information",19378,20426,21170,21243,21540,22325
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",146101,141223,139813,154534,161548,178949
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",98910,94045,92228,93777,94004,103061
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",47191,47178,47586,60758,67544,75889
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",166963,151104,157970,173163,176398,203172
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",102742,104813,112421,116052,121214,125174
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",19,"   Educational services",91713,93729,100921,103893,108379,112100
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",11028,11084,11500,12159,12835,13074
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1578148,1542224,1612563,1675183,1827917,1851544
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",978903,1007571,1070708,1076512,1143957,1197759
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",599245,534653,541855,598671,683961,653786
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",88907,92082,96872,103076,107973,116107
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",25," Government",1046726,1060853,1074882,1101728,1121534,1165800
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",26,"  Federal",8564,8620,8234,7672,7679,8000
 "17000","Illinois",3,SAOCOMP,"Thousands of dollars",27,"  State and local",1038162,1052234,1066647,1094056,1113855,1157800
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
