GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",1,"All Industries",2272067,2315431,2383278,2490716,2560058,2588692
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",2," Private Industries",1978753,2018768,2086156,2186284,2247925,2263917
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",18654,17789,17577,18675,18089,19179
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",4,"  Mining",2384,2453,2369,2045,2262,2169
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",5,"  Utilities",3,3,3,3,4,3
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",6,"  Construction",100043,112708,121882,121380,120956,131650
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",241160,245513,246324,256420,269829,294475
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",8,"   Durable goods",53433,51382,54283,53965,54627,50708
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",187727,194131,192041,202454,215202,243767
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",94554,93995,98432,100536,93885,96480
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",11,"  Retail trade",589652,593668,597086,625128,622373,613824
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",286683,326177,334037,358413,367757,369316
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",13,"  Information",2948,3109,3252,3246,3328,3470
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",28131,27067,25538,30051,31119,34860
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",9067,8608,8427,8621,8668,9334
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",19064,18459,17112,21430,22451,25526
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",22683,20212,21444,23559,24451,27416
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",20919,21246,22924,23984,25389,26510
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",19,"   Educational services",17811,18173,19719,20580,21758,22773
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",3108,3072,3206,3404,3631,3737
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",541268,524145,563145,588981,633283,607864
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",251608,263199,285245,290478,310105,322617
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",289660,260946,277899,298503,323178,285247
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",29670,30682,32143,33865,35201,36703
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",25," Government",293314,296664,297123,304432,312133,324775
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",26,"  Federal",9285,10235,10049,9600,9504,9423
 "22000","Louisiana",5,SAOCOMP,"Thousands of dollars",27,"  State and local",284029,286429,287074,294831,302629,315352
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
