GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",1,"All Industries",3060362,3078377,3163519,3301350,3361727,3586118
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",2," Private Industries",2739928,2733335,2809341,2933510,2992824,3203870
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",21446,19885,21752,22606,23368,25295
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",4,"  Mining",429,351,265,197,167,363
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",5,"  Utilities",12,14,12,14,16,16
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",6,"  Construction",45714,47869,51822,53412,61876,68898
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",384821,399769,422523,431796,448305,462395
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",8,"   Durable goods",269417,281602,301316,310633,305943,315679
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",115404,118167,121207,121163,142362,146715
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",169947,165414,173397,179800,173286,176322
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",11,"  Retail trade",846251,806876,794462,829993,816864,891515
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",193874,203046,201473,210029,211049,217489
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",13,"  Information",10365,10702,11110,11053,10960,11489
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",52642,50765,49179,54297,54706,57478
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",27799,26207,25509,25249,24309,25119
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",24843,24558,23670,29047,30397,32359
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",75349,68450,72510,81607,86135,102550
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",44420,45595,49182,50847,52258,52871
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",19,"   Educational services",39654,40785,44250,45685,46992,47407
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",4766,4810,4932,5161,5267,5464
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",850452,868819,913728,957011,1000485,1080818
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",512786,542455,592035,617259,665354,700363
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",337667,326364,321694,339752,335131,380455
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",44206,45781,47926,50848,53349,56371
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",25," Government",320434,345043,354177,367840,368903,382248
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",26,"  Federal",30500,32973,30886,29398,28589,26760
 "29000","Missouri",4,SAOCOMP,"Thousands of dollars",27,"  State and local",289934,312069,323291,338443,340314,355488
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
