GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "36000","New York",2,SAOCOMP,"Thousands of dollars",1,"All Industries",12345918,12556792,12955648,13605008,14234050,14178838
 "36000","New York",2,SAOCOMP,"Thousands of dollars",2," Private Industries",10611490,10693904,11087740,11612100,12216985,12108598
 "36000","New York",2,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",65921,64095,66829,68038,68111,68560
 "36000","New York",2,SAOCOMP,"Thousands of dollars",4,"  Mining",306,287,336,336,362,455
 "36000","New York",2,SAOCOMP,"Thousands of dollars",5,"  Utilities",18,20,17,20,24,24
 "36000","New York",2,SAOCOMP,"Thousands of dollars",6,"  Construction",311366,281428,292376,299375,329492,362280
 "36000","New York",2,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",684072,683719,721873,760327,681763,702857
 "36000","New York",2,SAOCOMP,"Thousands of dollars",8,"   Durable goods",184275,185283,195250,234556,200972,206585
 "36000","New York",2,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",499797,498437,526624,525771,480790,496272
 "36000","New York",2,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",1469160,1381437,1450911,1540062,1498548,1440937
 "36000","New York",2,SAOCOMP,"Thousands of dollars",11,"  Retail trade",2824783,2985284,2976261,3058517,3132462,3093606
 "36000","New York",2,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",1035234,1091453,1146240,1262751,1465112,1384226
 "36000","New York",2,SAOCOMP,"Thousands of dollars",13,"  Information",51497,54835,56461,57679,59356,60820
 "36000","New York",2,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",223777,220640,208036,226328,231164,244301
 "36000","New York",2,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",142688,136246,134359,137529,137583,147578
 "36000","New York",2,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",81089,84394,73677,88800,93581,96723
 "36000","New York",2,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",234415,214417,224697,251848,258966,306130
 "36000","New York",2,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",266809,272897,294999,307215,325379,339829
 "36000","New York",2,SAOCOMP,"Thousands of dollars",19,"   Educational services",247468,253527,274842,286066,302935,317203
 "36000","New York",2,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",19342,19370,20157,21148,22445,22626
 "36000","New York",2,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",3307062,3301578,3499281,3621929,4002970,3932697
 "36000","New York",2,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",1754966,1847913,1986875,2052000,2210220,2314439
 "36000","New York",2,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",1552096,1453664,1512407,1569928,1792750,1618258
 "36000","New York",2,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",137069,141814,149422,157675,163277,171875
 "36000","New York",2,SAOCOMP,"Thousands of dollars",25," Government",1734428,1862888,1867908,1992908,2017064,2070240
 "36000","New York",2,SAOCOMP,"Thousands of dollars",26,"  Federal",101081,102761,88936,86427,95942,103123
 "36000","New York",2,SAOCOMP,"Thousands of dollars",27,"  State and local",1633347,1760127,1778972,1906482,1921122,1967117
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
