GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",1,"All Industries",3029096,2952251,3101218,3275601,3370897,3583571
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",2," Private Industries",2709426,2618411,2753128,2908063,2984609,3180745
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",84558,80114,89612,93656,100089,105221
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",4,"  Mining",71,62,64,58,58,88
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",5,"  Utilities",1,1,1,1,1,1
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",6,"  Construction",42399,45240,47324,42304,47262,53314
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",201710,205544,208869,217525,237990,274546
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",8,"   Durable goods",139096,140364,146820,156008,160057,202167
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",62614,65181,62049,61516,77932,72378
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",451640,402363,417123,427803,426892,439508
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",11,"  Retail trade",728384,744825,775256,826890,828377,860625
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",192698,192828,198206,237633,250684,266426
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",13,"  Information",4069,4089,4249,4531,4443,4678
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",41431,40653,38826,41034,41302,44450
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",28166,26800,25894,25357,24287,25648
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",13264,13853,12931,15678,17015,18802
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",39600,35545,37698,41591,43642,51003
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",35337,35521,38560,39785,41330,43079
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",19,"   Educational services",31065,31411,34221,35172,36545,38001
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",4271,4111,4339,4613,4785,5078
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",862917,806550,870990,907669,933841,1007677
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",299949,309092,329203,332405,354163,374616
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",562968,497458,541787,575265,579677,633061
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",24610,25074,26351,27583,28700,30128
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",25," Government",319671,333840,348090,367537,386288,402826
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",26,"  Federal",23653,22786,23586,24276,26642,27998
 "41000","Oregon",8,SAOCOMP,"Thousands of dollars",27,"  State and local",296017,311054,324504,343261,359646,374828
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
