GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",1,"All Industries",521138,544011,555704,582996,581726,615661
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",2," Private Industries",440637,457745,468663,493813,489429,520305
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",12916,13023,13350,13911,12470,11447
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",4,"  Mining",5,4,4,4,3,4
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",5,"  Utilities",0,1,0,1,1,1
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",6,"  Construction",17801,23462,21580,13967,14243,15503
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",25097,25751,27739,29467,30972,35646
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",8,"   Durable goods",15960,16938,18268,19735,20044,22105
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",9138,8813,9470,9732,10928,13541
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",24262,24458,26765,28020,28188,29844
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",11,"  Retail trade",153242,160274,160525,171447,168707,176065
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",13089,13289,13399,14438,15262,15897
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",13,"  Information",845,887,928,922,948,978
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",5346,5189,4856,5184,5470,5796
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",3425,3259,3165,3204,3174,3363
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",1922,1930,1690,1980,2296,2434
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",11976,10542,11251,12614,13230,14393
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",7704,7854,8511,8842,9261,9744
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",19,"   Educational services",6843,6971,7595,7854,8252,8670
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",861,883,916,987,1008,1075
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",163064,167521,174002,188853,184165,198051
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",46543,47713,50611,51870,56276,59883
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",116521,119808,123391,136983,127889,138167
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",5289,5488,5751,6145,6508,6935
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",25," Government",80501,86266,87041,89183,92296,95356
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",26,"  Federal",26821,28721,27041,26973,28458,28790
 "46000","South Dakota",4,SAOCOMP,"Thousands of dollars",27,"  State and local",53680,57545,60000,62210,63839,66566
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
