GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",1,"All Industries",11479338,11812062,12209651,12995069,13609170,14285680
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",2," Private Industries",10567803,10861826,11209186,11910175,12444524,13073825
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",198999,213970,221777,264550,239666,249162
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",4,"  Mining",14514,14376,14227,14167,14609,13541
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",5,"  Utilities",39,46,39,48,58,61
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",6,"  Construction",276772,287563,307608,304162,346630,386395
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",1019177,1040050,1030741,1062968,1158428,1267875
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",8,"   Durable goods",339537,339212,355409,378949,380075,436656
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",679640,700838,675332,684020,778353,831219
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",680466,668656,704786,742939,706496,744809
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",11,"  Retail trade",3421741,3659585,3678946,3880751,3865044,3940372
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",1402021,1460426,1498537,1680731,1813657,1894874
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",13,"  Information",31752,33658,35814,37135,38405,40905
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",204580,199499,197268,222847,232005,248482
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",110206,105936,105403,109573,110758,119262
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",94375,93562,91865,113274,121247,129220
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",274496,250622,268884,305717,324370,382513
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",152655,155759,168813,174406,183066,191689
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",19,"   Educational services",135658,138559,150824,155348,162640,170170
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",16997,17201,17989,19058,20426,21519
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",2696466,2672304,2864478,2985520,3273042,3447215
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",1656713,1720818,1858092,1934761,2124830,2286128
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",1039753,951486,1006386,1050759,1148212,1161087
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",194124,205314,217268,234234,249048,265933
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",25," Government",911535,950236,1000465,1084894,1164646,1211855
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",26,"  Federal",58130,60601,56443,54232,57127,60447
 "48000","Texas",6,SAOCOMP,"Thousands of dollars",27,"  State and local",853405,889635,944022,1030662,1107519,1151408
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
