GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",1,"All Industries",4132936,4141390,4339699,4544112,4614250,4795163
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",2," Private Industries",3554110,3537164,3722564,3907431,3954515,4106889
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",53065,54554,56911,62361,60011,62469
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",4,"  Mining",2864,2341,1724,1237,988,2037
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",5,"  Utilities",4,5,4,4,5,5
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",6,"  Construction",77458,74372,82558,79863,90459,100636
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",138626,136898,141318,143608,146485,146074
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",8,"   Durable goods",53949,51269,52278,52988,51732,54941
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",84677,85628,89040,90619,94753,91133
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",156435,152117,153972,163374,158804,163427
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",11,"  Retail trade",1092675,1118374,1123449,1171483,1160134,1202353
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",412377,442961,471370,519252,531500,564514
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",13,"  Information",13915,14765,15564,16179,16897,17647
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",63943,62207,59816,66558,67923,70598
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",35490,33852,33620,34235,34012,36118
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",28453,28354,26197,32323,33910,34480
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",76194,68333,71967,79293,82210,96236
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",66889,67598,73295,75213,77431,79722
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",19,"   Educational services",59371,60261,65514,67053,69040,71043
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",7518,7338,7781,8160,8390,8679
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1339183,1280417,1405569,1460840,1490710,1526481
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",542200,561003,596615,608994,653904,694592
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",796983,719414,808954,851846,836806,831889
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",60483,62222,65045,68167,70958,74690
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",25," Government",578826,604226,617135,636680,659735,688274
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",26,"  Federal",93600,104173,98333,96320,99414,100706
 "51000","Virginia",5,SAOCOMP,"Thousands of dollars",27,"  State and local",485226,500053,518801,540360,560321,587568
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
