GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",1,"All Industries",4723174,4742510,4997638,5295303,5566956,5850632
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",2," Private Industries",4159017,4145230,4384460,4650120,4892733,5153886
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",82865,75121,80440,79421,83532,85017
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",4,"  Mining",89,75,70,56,50,75
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",5,"  Utilities",8,10,9,10,11,11
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",6,"  Construction",90466,106028,123693,119931,129178,144733
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",519843,511691,533903,546144,565099,537080
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",8,"   Durable goods",404219,393136,412545,421639,432808,399161
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",115624,118555,121358,124505,132292,137919
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",316787,309279,326329,346412,345540,357157
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",11,"  Retail trade",1115058,1168150,1186864,1260446,1297606,1375660
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",478246,495230,519206,578619,647035,691391
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",13,"  Information",18114,17196,18267,20981,20450,22507
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",68222,66502,62756,67680,68524,73490
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",42090,39823,38732,38252,37329,39304
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",26132,26679,24024,29429,31196,34186
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",188879,174402,185570,210487,223016,273085
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",60347,60440,65622,66921,69189,71479
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",19,"   Educational services",54074,54362,59145,59999,61906,63835
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",6273,6078,6477,6922,7282,7644
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1154245,1091403,1208339,1275059,1362505,1438729
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",542402,567901,613166,631675,678446,711594
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",611842,523502,595173,643384,684059,727135
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",65846,69703,73394,77952,80998,83472
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",25," Government",564157,597281,613178,645183,674223,696746
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",26,"  Federal",64585,70280,67499,66909,69724,70815
 "53000","Washington",8,SAOCOMP,"Thousands of dollars",27,"  State and local",499572,527001,545679,578274,604499,625932
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
