GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",1,"All Industries",677124,682880,674029,719156,693451,688507
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",2," Private Industries",601389,602757,591570,634743,608384,600895
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",5291,5184,5663,6088,6252,6824
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",4,"  Mining",14961,12156,9040,6467,5239,11014
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",5,"  Utilities",1,1,1,1,1,1
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",6,"  Construction",8373,9477,12874,13430,13811,14799
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",7,"  Manufacturing",18500,18028,18513,18881,18790,19219
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",8,"   Durable goods",4857,4237,4383,4534,4243,4527
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",9,"   Nondurable goods",13643,13791,14130,14347,14547,14692
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",10,"  Wholesale trade",27400,26247,27756,28145,25433,26269
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",11,"  Retail trade",236282,245224,230406,244222,236348,242725
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",12,"  Transportation and warehousing",23416,24217,23944,23940,23540,23742
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",13,"  Information",1542,1608,1674,1692,1739,1757
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",9750,9474,8742,9448,9640,9992
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",15,"   Finance and insurance",4623,4398,4283,4299,4188,4386
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",16,"   Real estate and rental and leasing",5128,5076,4459,5149,5452,5606
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",17,"  Professional and business services",11193,9915,10453,11365,11644,12963
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",18,"   Educational services, health care, and social assistance",7305,7371,7814,8153,8289,8354
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",19,"   Educational services",5785,5852,6277,6471,6570,6608
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",20,"   Health care and social assistance",1520,1519,1537,1682,1719,1747
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",230748,227154,227840,255791,240395,215763
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",22,"   Arts, entertainment, and recreation",78878,80346,84016,82302,83326,81427
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",23,"   Accommodation and food services",151870,146808,143824,173489,157069,134336
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",24,"  Other services, except government",6627,6700,6849,7119,7264,7469
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",25," Government",75735,80124,82459,84413,85067,87612
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",26,"  Federal",12792,13373,12916,12746,13390,13365
 "54000","West Virginia",5,SAOCOMP,"Thousands of dollars",27,"  State and local",62943,66751,69543,71667,71677,74247
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
