GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "05000","Arkansas",5,SAOEMP,"Number of jobs",1,"All Industries",36842,37181,37835,38616,39842,39299
 "05000","Arkansas",5,SAOEMP,"Number of jobs",2," Private Industries",34484,34804,35487,36287,37528,36950
 "05000","Arkansas",5,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",243,245,259,275,272,293
 "05000","Arkansas",5,SAOEMP,"Number of jobs",4,"  Mining",4,4,3,3,3,3
 "05000","Arkansas",5,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "05000","Arkansas",5,SAOEMP,"Number of jobs",6,"  Construction",502,560,648,760,779,781
 "05000","Arkansas",5,SAOEMP,"Number of jobs",7,"  Manufacturing",3911,3884,3928,4103,4313,4568
 "05000","Arkansas",5,SAOEMP,"Number of jobs",8,"   Durable goods",2037,2108,2157,2258,2424,2683
 "05000","Arkansas",5,SAOEMP,"Number of jobs",9,"   Nondurable goods",1875,1776,1771,1845,1890,1886
 "05000","Arkansas",5,SAOEMP,"Number of jobs",10,"  Wholesale trade",1343,1302,1300,1309,1256,1251
 "05000","Arkansas",5,SAOEMP,"Number of jobs",11,"  Retail trade",13252,13679,13658,13818,14035,13633
 "05000","Arkansas",5,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",1062,1037,1016,990,972,954
 "05000","Arkansas",5,SAOEMP,"Number of jobs",13,"  Information",78,78,77,74,72,65
 "05000","Arkansas",5,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",281,281,256,258,269,270
 "05000","Arkansas",5,SAOEMP,"Number of jobs",15,"   Finance and insurance",87,82,78,78,77,81
 "05000","Arkansas",5,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",194,199,177,180,191,189
 "05000","Arkansas",5,SAOEMP,"Number of jobs",17,"  Professional and business services",364,371,383,402,425,437
 "05000","Arkansas",5,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",682,725,760,778,807,825
 "05000","Arkansas",5,SAOEMP,"Number of jobs",19,"   Educational services",644,687,720,737,765,784
 "05000","Arkansas",5,SAOEMP,"Number of jobs",20,"   Health care and social assistance",38,38,39,41,42,42
 "05000","Arkansas",5,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",12362,12237,12789,13110,13923,13478
 "05000","Arkansas",5,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",5064,5223,5535,5701,6068,6337
 "05000","Arkansas",5,SAOEMP,"Number of jobs",23,"   Accommodation and food services",7297,7014,7254,7409,7855,7141
 "05000","Arkansas",5,SAOEMP,"Number of jobs",24,"  Other services, except government",401,400,410,407,403,393
 "05000","Arkansas",5,SAOEMP,"Number of jobs",25," Government",2358,2377,2348,2329,2314,2349
 "05000","Arkansas",5,SAOEMP,"Number of jobs",26,"  Federal",283,295,264,255,269,271
 "05000","Arkansas",5,SAOEMP,"Number of jobs",27,"  State and local",2075,2082,2084,2074,2045,2078
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
