GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "04000","Arizona",6,SAOEMP,"Number of jobs",1,"All Industries",97918,96401,99332,101454,104600,108460
 "04000","Arizona",6,SAOEMP,"Number of jobs",2," Private Industries",92504,90929,93873,95896,98883,102631
 "04000","Arizona",6,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",695,645,682,698,680,683
 "04000","Arizona",6,SAOEMP,"Number of jobs",4,"  Mining",4,3,3,2,2,3
 "04000","Arizona",6,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "04000","Arizona",6,SAOEMP,"Number of jobs",6,"  Construction",1585,1682,1424,1303,1398,1461
 "04000","Arizona",6,SAOEMP,"Number of jobs",7,"  Manufacturing",2110,2132,2077,2139,2237,2255
 "04000","Arizona",6,SAOEMP,"Number of jobs",8,"   Durable goods",1567,1584,1526,1570,1623,1628
 "04000","Arizona",6,SAOEMP,"Number of jobs",9,"   Nondurable goods",543,548,551,569,614,627
 "04000","Arizona",6,SAOEMP,"Number of jobs",10,"  Wholesale trade",2056,2028,1984,1989,1937,1942
 "04000","Arizona",6,SAOEMP,"Number of jobs",11,"  Retail trade",31357,32010,32469,32809,33174,33386
 "04000","Arizona",6,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",5893,5431,5345,5345,5350,5353
 "04000","Arizona",6,SAOEMP,"Number of jobs",13,"  Information",97,98,100,103,106,108
 "04000","Arizona",6,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",1424,1455,1337,1388,1416,1437
 "04000","Arizona",6,SAOEMP,"Number of jobs",15,"   Finance and insurance",268,257,252,260,267,278
 "04000","Arizona",6,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",1156,1198,1085,1128,1149,1159
 "04000","Arizona",6,SAOEMP,"Number of jobs",17,"  Professional and business services",2422,2397,2419,2523,2728,2709
 "04000","Arizona",6,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",1560,1656,1742,1802,1880,1938
 "04000","Arizona",6,SAOEMP,"Number of jobs",19,"   Educational services",1467,1566,1647,1704,1779,1835
 "04000","Arizona",6,SAOEMP,"Number of jobs",20,"   Health care and social assistance",92,90,95,98,101,103
 "04000","Arizona",6,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",42167,40271,43126,44619,46804,50186
 "04000","Arizona",6,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",16194,16603,17505,17903,19003,19829
 "04000","Arizona",6,SAOEMP,"Number of jobs",23,"   Accommodation and food services",25972,23668,25621,26716,27801,30358
 "04000","Arizona",6,SAOEMP,"Number of jobs",24,"  Other services, except government",1134,1119,1167,1174,1171,1169
 "04000","Arizona",6,SAOEMP,"Number of jobs",25," Government",5414,5471,5459,5557,5717,5829
 "04000","Arizona",6,SAOEMP,"Number of jobs",26,"  Federal",1017,1083,981,954,980,984
 "04000","Arizona",6,SAOEMP,"Number of jobs",27,"  State and local",4397,4389,4478,4604,4736,4844
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
