GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "06000","California",8,SAOEMP,"Number of jobs",1,"All Industries",538622,536425,546561,558757,573582,588680
 "06000","California",8,SAOEMP,"Number of jobs",2," Private Industries",504013,502793,513414,525706,539763,554550
 "06000","California",8,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",9824,8811,9431,9778,10027,10274
 "06000","California",8,SAOEMP,"Number of jobs",4,"  Mining",14,13,13,11,11,11
 "06000","California",8,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "06000","California",8,SAOEMP,"Number of jobs",6,"  Construction",11029,11567,10969,14161,14813,15093
 "06000","California",8,SAOEMP,"Number of jobs",7,"  Manufacturing",29206,28855,28644,28788,28462,27339
 "06000","California",8,SAOEMP,"Number of jobs",8,"   Durable goods",9292,9353,9345,9888,9824,10260
 "06000","California",8,SAOEMP,"Number of jobs",9,"   Nondurable goods",19914,19502,19299,18900,18638,17080
 "06000","California",8,SAOEMP,"Number of jobs",10,"  Wholesale trade",23470,23123,23655,24207,24372,24519
 "06000","California",8,SAOEMP,"Number of jobs",11,"  Retail trade",166653,167522,168947,170121,170463,169229
 "06000","California",8,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",24486,25238,25619,26507,27498,30156
 "06000","California",8,SAOEMP,"Number of jobs",13,"  Information",568,573,584,616,632,648
 "06000","California",8,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",5411,5375,5122,5209,5277,5490
 "06000","California",8,SAOEMP,"Number of jobs",15,"   Finance and insurance",1623,1520,1433,1391,1352,1369
 "06000","California",8,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",3788,3855,3689,3818,3926,4120
 "06000","California",8,SAOEMP,"Number of jobs",17,"  Professional and business services",6408,6476,6593,6979,7593,7737
 "06000","California",8,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",11947,12824,13520,14080,14828,15449
 "06000","California",8,SAOEMP,"Number of jobs",19,"   Educational services",11527,12404,13087,13629,14355,14964
 "06000","California",8,SAOEMP,"Number of jobs",20,"   Health care and social assistance",420,420,433,450,473,485
 "06000","California",8,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",207323,204640,212212,216982,227430,240130
 "06000","California",8,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",103575,106644,112385,114569,119816,123559
 "06000","California",8,SAOEMP,"Number of jobs",23,"   Accommodation and food services",103748,97996,99827,102413,107615,116571
 "06000","California",8,SAOEMP,"Number of jobs",24,"  Other services, except government",7673,7775,8105,8265,8357,8475
 "06000","California",8,SAOEMP,"Number of jobs",25," Government",34609,33632,33147,33052,33819,34130
 "06000","California",8,SAOEMP,"Number of jobs",26,"  Federal",3582,3845,3503,3371,3413,3336
 "06000","California",8,SAOEMP,"Number of jobs",27,"  State and local",31027,29787,29644,29681,30406,30794
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
