GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "12000","Florida",5,SAOEMP,"Number of jobs",1,"All Industries",461100,452571,464085,477602,486056,502939
 "12000","Florida",5,SAOEMP,"Number of jobs",2," Private Industries",446741,438544,450138,463749,472102,488810
 "12000","Florida",5,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",5249,4760,5094,5309,5510,5658
 "12000","Florida",5,SAOEMP,"Number of jobs",4,"  Mining",3,3,2,2,2,3
 "12000","Florida",5,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "12000","Florida",5,SAOEMP,"Number of jobs",6,"  Construction",6484,5669,5751,6132,6395,6643
 "12000","Florida",5,SAOEMP,"Number of jobs",7,"  Manufacturing",8401,8669,8753,9114,9927,11068
 "12000","Florida",5,SAOEMP,"Number of jobs",8,"   Durable goods",5849,6182,6271,6620,7331,8531
 "12000","Florida",5,SAOEMP,"Number of jobs",9,"   Nondurable goods",2553,2486,2482,2494,2596,2537
 "12000","Florida",5,SAOEMP,"Number of jobs",10,"  Wholesale trade",8378,8184,8270,8428,8356,8395
 "12000","Florida",5,SAOEMP,"Number of jobs",11,"  Retail trade",116584,119103,122081,124470,124466,124273
 "12000","Florida",5,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",19376,19665,20990,23806,23471,25342
 "12000","Florida",5,SAOEMP,"Number of jobs",13,"  Information",338,342,344,344,345,342
 "12000","Florida",5,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",4947,4915,4337,4465,4522,4608
 "12000","Florida",5,SAOEMP,"Number of jobs",15,"   Finance and insurance",925,868,829,822,828,874
 "12000","Florida",5,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",4022,4047,3508,3642,3694,3734
 "12000","Florida",5,SAOEMP,"Number of jobs",17,"  Professional and business services",7951,7940,7975,8288,8921,9019
 "12000","Florida",5,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",4521,4762,5015,5193,5440,5616
 "12000","Florida",5,SAOEMP,"Number of jobs",19,"   Educational services",4186,4442,4684,4853,5091,5260
 "12000","Florida",5,SAOEMP,"Number of jobs",20,"   Health care and social assistance",334,320,332,340,349,356
 "12000","Florida",5,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",259355,249400,256147,262676,269126,282085
 "12000","Florida",5,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",107457,108782,114227,115820,122274,128529
 "12000","Florida",5,SAOEMP,"Number of jobs",23,"   Accommodation and food services",151898,140617,141920,146856,146851,153556
 "12000","Florida",5,SAOEMP,"Number of jobs",24,"  Other services, except government",5153,5132,5380,5522,5621,5758
 "12000","Florida",5,SAOEMP,"Number of jobs",25," Government",14359,14027,13947,13853,13954,14129
 "12000","Florida",5,SAOEMP,"Number of jobs",26,"  Federal",867,979,895,867,869,830
 "12000","Florida",5,SAOEMP,"Number of jobs",27,"  State and local",13491,13049,13052,12986,13086,13298
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
