GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "13000","Georgia",5,SAOEMP,"Number of jobs",1,"All Industries",128921,127391,130759,135564,140364,144203
 "13000","Georgia",5,SAOEMP,"Number of jobs",2," Private Industries",121213,119548,122869,127455,132090,135841
 "13000","Georgia",5,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",1248,1205,1259,1307,1297,1326
 "13000","Georgia",5,SAOEMP,"Number of jobs",4,"  Mining",1,1,1,1,1,1
 "13000","Georgia",5,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "13000","Georgia",5,SAOEMP,"Number of jobs",6,"  Construction",1976,1942,1974,3174,3350,3349
 "13000","Georgia",5,SAOEMP,"Number of jobs",7,"  Manufacturing",7010,7156,7202,7455,7961,8637
 "13000","Georgia",5,SAOEMP,"Number of jobs",8,"   Durable goods",3873,4125,4165,4447,4868,5595
 "13000","Georgia",5,SAOEMP,"Number of jobs",9,"   Nondurable goods",3137,3031,3037,3008,3093,3043
 "13000","Georgia",5,SAOEMP,"Number of jobs",10,"  Wholesale trade",4661,4600,4638,4741,4862,4907
 "13000","Georgia",5,SAOEMP,"Number of jobs",11,"  Retail trade",45092,44638,45131,46152,45842,47227
 "13000","Georgia",5,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",9989,9604,9963,10500,11332,11470
 "13000","Georgia",5,SAOEMP,"Number of jobs",13,"  Information",204,205,208,207,209,210
 "13000","Georgia",5,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",1190,1212,1183,1209,1239,1280
 "13000","Georgia",5,SAOEMP,"Number of jobs",15,"   Finance and insurance",400,383,367,364,355,361
 "13000","Georgia",5,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",790,829,816,845,884,919
 "13000","Georgia",5,SAOEMP,"Number of jobs",17,"  Professional and business services",1831,1846,1864,1921,1980,1887
 "13000","Georgia",5,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",2143,2280,2392,2474,2593,2679
 "13000","Georgia",5,SAOEMP,"Number of jobs",19,"   Educational services",2034,2172,2280,2358,2471,2554
 "13000","Georgia",5,SAOEMP,"Number of jobs",20,"   Health care and social assistance",109,108,112,116,122,125
 "13000","Georgia",5,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",44171,43151,45282,46522,49618,51043
 "13000","Georgia",5,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",19982,20692,21925,22690,24347,25814
 "13000","Georgia",5,SAOEMP,"Number of jobs",23,"   Accommodation and food services",24188,22459,23357,23832,25271,25229
 "13000","Georgia",5,SAOEMP,"Number of jobs",24,"  Other services, except government",1698,1707,1771,1791,1807,1824
 "13000","Georgia",5,SAOEMP,"Number of jobs",25," Government",7708,7843,7890,8109,8273,8362
 "13000","Georgia",5,SAOEMP,"Number of jobs",26,"  Federal",609,676,615,593,592,561
 "13000","Georgia",5,SAOEMP,"Number of jobs",27,"  State and local",7099,7168,7274,7516,7681,7800
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
