GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "21000","Kentucky",5,SAOEMP,"Number of jobs",1,"All Industries",51005,50098,50800,51970,52678,53632
 "21000","Kentucky",5,SAOEMP,"Number of jobs",2," Private Industries",48182,47251,47929,49057,49722,50641
 "21000","Kentucky",5,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",388,428,461,510,515,566
 "21000","Kentucky",5,SAOEMP,"Number of jobs",4,"  Mining",86,62,45,30,23,44
 "21000","Kentucky",5,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "21000","Kentucky",5,SAOEMP,"Number of jobs",6,"  Construction",712,712,706,753,822,837
 "21000","Kentucky",5,SAOEMP,"Number of jobs",7,"  Manufacturing",3017,2972,2962,3043,3012,2939
 "21000","Kentucky",5,SAOEMP,"Number of jobs",8,"   Durable goods",1235,1275,1282,1388,1319,1293
 "21000","Kentucky",5,SAOEMP,"Number of jobs",9,"   Nondurable goods",1782,1697,1680,1655,1693,1646
 "21000","Kentucky",5,SAOEMP,"Number of jobs",10,"  Wholesale trade",1720,1700,1737,1750,1702,1689
 "21000","Kentucky",5,SAOEMP,"Number of jobs",11,"  Retail trade",18974,18993,19081,19554,19690,20130
 "21000","Kentucky",5,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",2118,1962,1927,1976,2016,2053
 "21000","Kentucky",5,SAOEMP,"Number of jobs",13,"  Information",74,74,74,73,71,69
 "21000","Kentucky",5,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",495,479,464,475,483,499
 "21000","Kentucky",5,SAOEMP,"Number of jobs",15,"   Finance and insurance",230,219,210,212,214,224
 "21000","Kentucky",5,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",264,260,254,263,269,274
 "21000","Kentucky",5,SAOEMP,"Number of jobs",17,"  Professional and business services",767,782,807,851,902,914
 "21000","Kentucky",5,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",1026,1096,1148,1178,1219,1247
 "21000","Kentucky",5,SAOEMP,"Number of jobs",19,"   Educational services",970,1040,1092,1121,1161,1189
 "21000","Kentucky",5,SAOEMP,"Number of jobs",20,"   Health care and social assistance",56,55,57,58,58,58
 "21000","Kentucky",5,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",18206,17398,17908,18260,18667,19056
 "21000","Kentucky",5,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",8599,8850,9281,9407,9845,10287
 "21000","Kentucky",5,SAOEMP,"Number of jobs",23,"   Accommodation and food services",9607,8548,8628,8852,8821,8769
 "21000","Kentucky",5,SAOEMP,"Number of jobs",24,"  Other services, except government",598,593,608,605,599,598
 "21000","Kentucky",5,SAOEMP,"Number of jobs",25," Government",2823,2848,2872,2913,2956,2991
 "21000","Kentucky",5,SAOEMP,"Number of jobs",26,"  Federal",194,201,185,175,179,173
 "21000","Kentucky",5,SAOEMP,"Number of jobs",27,"  State and local",2629,2647,2687,2738,2777,2818
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
