GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",1,"All Industries",106130,106463,106471,109004,111693,111609
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",2," Private Industries",102605,102892,102930,105485,108143,108041
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",638,608,631,663,682,705
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",4,"  Mining",0,0,0,0,0,0
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",6,"  Construction",1269,1393,1620,1723,1793,1848
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",7,"  Manufacturing",4693,4656,4562,4783,4889,4867
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",8,"   Durable goods",2644,2679,2586,2661,2655,2638
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",9,"   Nondurable goods",2049,1977,1977,2123,2234,2229
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",10,"  Wholesale trade",3184,3099,3126,3143,3080,3036
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",11,"  Retail trade",34504,34364,33463,33523,33426,32757
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",4527,4482,4556,4770,4958,5127
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",13,"  Information",189,185,184,186,183,181
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",1469,1435,1329,1370,1376,1396
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",15,"   Finance and insurance",566,528,501,493,491,511
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",903,907,828,878,885,884
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",17,"  Professional and business services",1597,1597,1612,1690,1841,1894
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",3600,3827,4003,4145,4353,4534
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",19,"   Educational services",3486,3712,3887,4024,4229,4409
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",20,"   Health care and social assistance",114,115,116,120,125,126
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",45356,45651,46204,47831,49901,50033
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",20912,21579,22754,23198,24409,25303
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",23,"   Accommodation and food services",24444,24072,23449,24633,25492,24730
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",24,"  Other services, except government",1578,1594,1639,1658,1659,1664
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",25," Government",3525,3571,3541,3519,3550,3568
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",26,"  Federal",805,896,793,743,725,685
 "25000","Massachusetts",1,SAOEMP,"Number of jobs",27,"  State and local",2720,2675,2749,2775,2825,2883
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
