GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "23000","Maine",1,SAOEMP,"Number of jobs",1,"All Industries",39549,39503,39661,40400,39675,40720
 "23000","Maine",1,SAOEMP,"Number of jobs",2," Private Industries",38435,38358,38510,39221,38475,39498
 "23000","Maine",1,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting","(D)",206,222,235,255,285
 "23000","Maine",1,SAOEMP,"Number of jobs",4,"  Mining","(D)",0,0,0,0,0
 "23000","Maine",1,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "23000","Maine",1,SAOEMP,"Number of jobs",6,"  Construction",629,505,307,289,315,322
 "23000","Maine",1,SAOEMP,"Number of jobs",7,"  Manufacturing",1984,2005,1999,2166,2288,2441
 "23000","Maine",1,SAOEMP,"Number of jobs",8,"   Durable goods",1187,1243,1253,1288,1394,1533
 "23000","Maine",1,SAOEMP,"Number of jobs",9,"   Nondurable goods",797,761,747,879,894,908
 "23000","Maine",1,SAOEMP,"Number of jobs",10,"  Wholesale trade",389,379,391,386,375,370
 "23000","Maine",1,SAOEMP,"Number of jobs",11,"  Retail trade",10883,11011,10733,10722,10348,10512
 "23000","Maine",1,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",653,660,674,695,698,724
 "23000","Maine",1,SAOEMP,"Number of jobs",13,"  Information",28,28,28,28,28,27
 "23000","Maine",1,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",642,624,547,575,600,597
 "23000","Maine",1,SAOEMP,"Number of jobs",15,"   Finance and insurance",146,137,129,125,122,124
 "23000","Maine",1,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",496,487,418,449,478,473
 "23000","Maine",1,SAOEMP,"Number of jobs",17,"  Professional and business services",216,217,223,235,254,259
 "23000","Maine",1,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",515,553,583,610,638,664
 "23000","Maine",1,SAOEMP,"Number of jobs",19,"   Educational services",485,524,553,579,608,633
 "23000","Maine",1,SAOEMP,"Number of jobs",20,"   Health care and social assistance",30,29,30,31,30,30
 "23000","Maine",1,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",21998,21896,22516,22982,22378,22992
 "23000","Maine",1,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",6603,6707,7000,6995,7227,7429
 "23000","Maine",1,SAOEMP,"Number of jobs",23,"   Accommodation and food services",15395,15189,15516,15987,15151,15563
 "23000","Maine",1,SAOEMP,"Number of jobs",24,"  Other services, except government",275,275,287,299,298,305
 "23000","Maine",1,SAOEMP,"Number of jobs",25," Government",1113,1145,1151,1179,1200,1222
 "23000","Maine",1,SAOEMP,"Number of jobs",26,"  Federal",199,216,191,185,196,203
 "23000","Maine",1,SAOEMP,"Number of jobs",27,"  State and local",914,929,960,993,1004,1019
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
