GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "38000","North Dakota",4,SAOEMP,"Number of jobs",1,"All Industries",14524,15034,15446,15911,15325,14856
 "38000","North Dakota",4,SAOEMP,"Number of jobs",2," Private Industries",12822,13237,13599,13971,13315,12805
 "38000","North Dakota",4,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",85,80,88,90,88,92
 "38000","North Dakota",4,SAOEMP,"Number of jobs",4,"  Mining",16,15,13,11,13,14
 "38000","North Dakota",4,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "38000","North Dakota",4,SAOEMP,"Number of jobs",6,"  Construction",596,807,1014,808,674,646
 "38000","North Dakota",4,SAOEMP,"Number of jobs",7,"  Manufacturing",218,220,220,225,227,230
 "38000","North Dakota",4,SAOEMP,"Number of jobs",8,"   Durable goods",78,82,80,81,78,80
 "38000","North Dakota",4,SAOEMP,"Number of jobs",9,"   Nondurable goods",140,138,140,144,149,150
 "38000","North Dakota",4,SAOEMP,"Number of jobs",10,"  Wholesale trade",396,393,410,407,379,382
 "38000","North Dakota",4,SAOEMP,"Number of jobs",11,"  Retail trade",5449,5676,5679,5906,5735,5566
 "38000","North Dakota",4,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",461,458,450,443,423,390
 "38000","North Dakota",4,SAOEMP,"Number of jobs",13,"  Information",19,19,19,20,19,19
 "38000","North Dakota",4,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",111,109,103,106,106,104
 "38000","North Dakota",4,SAOEMP,"Number of jobs",15,"   Finance and insurance",49,46,44,42,41,41
 "38000","North Dakota",4,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",62,63,59,64,65,63
 "38000","North Dakota",4,SAOEMP,"Number of jobs",17,"  Professional and business services",347,341,337,334,334,315
 "38000","North Dakota",4,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",242,260,274,287,303,316
 "38000","North Dakota",4,SAOEMP,"Number of jobs",19,"   Educational services",228,245,260,271,288,300
 "38000","North Dakota",4,SAOEMP,"Number of jobs",20,"   Health care and social assistance",14,14,15,15,16,15
 "38000","North Dakota",4,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",4732,4711,4840,5182,4862,4582
 "38000","North Dakota",4,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",1843,1877,1976,2006,2115,2204
 "38000","North Dakota",4,SAOEMP,"Number of jobs",23,"   Accommodation and food services",2889,2834,2864,3176,2746,2378
 "38000","North Dakota",4,SAOEMP,"Number of jobs",24,"  Other services, except government",148,147,151,154,152,147
 "38000","North Dakota",4,SAOEMP,"Number of jobs",25," Government",1702,1796,1847,1941,2010,2051
 "38000","North Dakota",4,SAOEMP,"Number of jobs",26,"  Federal",82,84,79,74,77,76
 "38000","North Dakota",4,SAOEMP,"Number of jobs",27,"  State and local",1620,1712,1768,1866,1933,1975
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
