GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "34000","New Jersey",2,SAOEMP,"Number of jobs",1,"All Industries",137134,132360,135708,137191,141494,139017
 "34000","New Jersey",2,SAOEMP,"Number of jobs",2," Private Industries",129812,124741,128070,129305,133542,131008
 "34000","New Jersey",2,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",931,838,880,918,930,939
 "34000","New Jersey",2,SAOEMP,"Number of jobs",4,"  Mining",0,0,0,0,0,0
 "34000","New Jersey",2,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "34000","New Jersey",2,SAOEMP,"Number of jobs",6,"  Construction",1660,1810,1781,1908,2014,2036
 "34000","New Jersey",2,SAOEMP,"Number of jobs",7,"  Manufacturing",4252,4186,4181,4221,4385,4516
 "34000","New Jersey",2,SAOEMP,"Number of jobs",8,"   Durable goods",1285,1281,1313,1386,1487,1675
 "34000","New Jersey",2,SAOEMP,"Number of jobs",9,"   Nondurable goods",2967,2905,2868,2835,2898,2841
 "34000","New Jersey",2,SAOEMP,"Number of jobs",10,"  Wholesale trade",5689,5539,5594,5635,5605,5588
 "34000","New Jersey",2,SAOEMP,"Number of jobs",11,"  Retail trade",50257,49293,49393,49563,49574,47518
 "34000","New Jersey",2,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",7707,7270,7449,7360,7484,7422
 "34000","New Jersey",2,SAOEMP,"Number of jobs",13,"  Information",215,217,217,214,213,207
 "34000","New Jersey",2,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",1611,1608,1497,1525,1562,1551
 "34000","New Jersey",2,SAOEMP,"Number of jobs",15,"   Finance and insurance",492,461,435,424,412,422
 "34000","New Jersey",2,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",1119,1147,1062,1102,1150,1129
 "34000","New Jersey",2,SAOEMP,"Number of jobs",17,"  Professional and business services",1733,1710,1717,1775,1893,1862
 "34000","New Jersey",2,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",3390,3633,3823,3954,4133,4266
 "34000","New Jersey",2,SAOEMP,"Number of jobs",19,"   Educational services",3262,3509,3694,3821,3993,4126
 "34000","New Jersey",2,SAOEMP,"Number of jobs",20,"   Health care and social assistance",127,124,129,134,140,141
 "34000","New Jersey",2,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",50592,46879,49713,50407,53931,53330
 "34000","New Jersey",2,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",23122,23602,24707,24829,26089,27370
 "34000","New Jersey",2,SAOEMP,"Number of jobs",23,"   Accommodation and food services",27470,23277,25007,25578,27843,25960
 "34000","New Jersey",2,SAOEMP,"Number of jobs",24,"  Other services, except government",1775,1757,1822,1825,1818,1772
 "34000","New Jersey",2,SAOEMP,"Number of jobs",25," Government",7322,7619,7638,7886,7952,8009
 "34000","New Jersey",2,SAOEMP,"Number of jobs",26,"  Federal",444,470,395,357,338,318
 "34000","New Jersey",2,SAOEMP,"Number of jobs",27,"  State and local",6878,7149,7244,7529,7614,7691
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
