GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "35000","New Mexico",6,SAOEMP,"Number of jobs",1,"All Industries",32463,32833,32780,33742,33746,33486
 "35000","New Mexico",6,SAOEMP,"Number of jobs",2," Private Industries",29954,30311,30239,31195,31183,30883
 "35000","New Mexico",6,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",302,290,316,329,325,344
 "35000","New Mexico",6,SAOEMP,"Number of jobs",4,"  Mining",20,18,17,15,15,18
 "35000","New Mexico",6,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "35000","New Mexico",6,SAOEMP,"Number of jobs",6,"  Construction",730,708,768,734,703,702
 "35000","New Mexico",6,SAOEMP,"Number of jobs",7,"  Manufacturing",373,374,374,376,381,385
 "35000","New Mexico",6,SAOEMP,"Number of jobs",8,"   Durable goods",132,131,130,127,119,120
 "35000","New Mexico",6,SAOEMP,"Number of jobs",9,"   Nondurable goods",242,244,244,250,263,265
 "35000","New Mexico",6,SAOEMP,"Number of jobs",10,"  Wholesale trade",349,342,347,347,332,330
 "35000","New Mexico",6,SAOEMP,"Number of jobs",11,"  Retail trade",11019,11273,11027,11194,11038,10933
 "35000","New Mexico",6,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",616,585,578,563,567,563
 "35000","New Mexico",6,SAOEMP,"Number of jobs",13,"  Information",31,31,31,30,30,30
 "35000","New Mexico",6,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",354,370,337,342,354,380
 "35000","New Mexico",6,SAOEMP,"Number of jobs",15,"   Finance and insurance",112,106,100,101,103,113
 "35000","New Mexico",6,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",242,265,237,241,251,267
 "35000","New Mexico",6,SAOEMP,"Number of jobs",17,"  Professional and business services",379,383,393,410,434,443
 "35000","New Mexico",6,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",612,655,688,713,749,779
 "35000","New Mexico",6,SAOEMP,"Number of jobs",19,"   Educational services",583,627,660,684,719,748
 "35000","New Mexico",6,SAOEMP,"Number of jobs",20,"   Health care and social assistance",28,28,28,30,30,30
 "35000","New Mexico",6,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",14847,14959,15035,15810,15928,15654
 "35000","New Mexico",6,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",4467,4603,4850,4976,5248,5423
 "35000","New Mexico",6,SAOEMP,"Number of jobs",23,"   Accommodation and food services",10380,10357,10185,10835,10679,10231
 "35000","New Mexico",6,SAOEMP,"Number of jobs",24,"  Other services, except government",324,322,328,330,326,322
 "35000","New Mexico",6,SAOEMP,"Number of jobs",25," Government",2509,2521,2541,2547,2563,2603
 "35000","New Mexico",6,SAOEMP,"Number of jobs",26,"  Federal",287,285,276,262,272,268
 "35000","New Mexico",6,SAOEMP,"Number of jobs",27,"  State and local",2222,2236,2265,2286,2291,2336
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
