GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "32000","Nevada",8,SAOEMP,"Number of jobs",1,"All Industries",52415,50695,51869,53451,55837,56940
 "32000","Nevada",8,SAOEMP,"Number of jobs",2," Private Industries",49034,47199,48236,49693,51989,53012
 "32000","Nevada",8,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",70,68,76,83,84,95
 "32000","Nevada",8,SAOEMP,"Number of jobs",4,"  Mining",5,4,5,4,4,6
 "32000","Nevada",8,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "32000","Nevada",8,SAOEMP,"Number of jobs",6,"  Construction",1532,1515,2136,1655,1440,1474
 "32000","Nevada",8,SAOEMP,"Number of jobs",7,"  Manufacturing",525,541,546,569,597,615
 "32000","Nevada",8,SAOEMP,"Number of jobs",8,"   Durable goods",323,338,341,355,368,381
 "32000","Nevada",8,SAOEMP,"Number of jobs",9,"   Nondurable goods",202,202,206,214,229,235
 "32000","Nevada",8,SAOEMP,"Number of jobs",10,"  Wholesale trade",1009,1002,1018,1060,1059,1075
 "32000","Nevada",8,SAOEMP,"Number of jobs",11,"  Retail trade",17506,17619,17756,18127,18222,18153
 "32000","Nevada",8,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",3947,3861,3955,4111,4334,4432
 "32000","Nevada",8,SAOEMP,"Number of jobs",13,"  Information",29,30,30,31,31,31
 "32000","Nevada",8,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",483,510,466,471,484,495
 "32000","Nevada",8,SAOEMP,"Number of jobs",15,"   Finance and insurance",104,97,91,87,84,85
 "32000","Nevada",8,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",379,413,375,384,400,410
 "32000","Nevada",8,SAOEMP,"Number of jobs",17,"  Professional and business services",945,933,933,960,1021,1008
 "32000","Nevada",8,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",644,684,723,763,814,849
 "32000","Nevada",8,SAOEMP,"Number of jobs",19,"   Educational services",600,642,682,719,767,800
 "32000","Nevada",8,SAOEMP,"Number of jobs",20,"   Health care and social assistance",44,41,41,44,47,49
 "32000","Nevada",8,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",21815,19929,20076,21330,23351,24217
 "32000","Nevada",8,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",7546,7752,8186,8400,9073,9793
 "32000","Nevada",8,SAOEMP,"Number of jobs",23,"   Accommodation and food services",14269,12177,11890,12930,14278,14425
 "32000","Nevada",8,SAOEMP,"Number of jobs",24,"  Other services, except government",524,504,515,530,547,562
 "32000","Nevada",8,SAOEMP,"Number of jobs",25," Government",3381,3496,3633,3757,3848,3927
 "32000","Nevada",8,SAOEMP,"Number of jobs",26,"  Federal",484,505,454,437,451,445
 "32000","Nevada",8,SAOEMP,"Number of jobs",27,"  State and local",2897,2991,3179,3320,3398,3482
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
