GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",1,"All Industries",20829,21043,20948,21577,21746,21642
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",2," Private Industries",20376,20608,20525,21171,21346,21238
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",3,"  Agriculture, forestry, fishing, and hunting",84,"(D)","(D)","(D)","(D)","(D)"
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",4,"  Mining",0,"(D)","(D)","(D)","(D)","(D)"
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",5,"  Utilities",0,0,0,0,0,0
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",6,"  Construction",139,164,176,192,202,"(D)"
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",7,"  Manufacturing",745,755,755,746,762,785
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",8,"   Durable goods",542,557,557,546,554,581
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",9,"   Nondurable goods",203,198,198,200,208,204
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",10,"  Wholesale trade",377,364,365,366,354,349
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",11,"  Retail trade",5421,5586,5520,5611,5510,5327
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",12,"  Transportation and warehousing",582,544,533,532,536,542
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",13,"  Information",21,21,20,20,19,18
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",14,"  Finance, insurance, real estate, rental, and leasing",185,196,174,174,178,180
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",15,"   Finance and insurance",76,71,68,67,67,69
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",16,"   Real estate and rental and leasing",109,125,106,107,111,111
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",17,"  Professional and business services",489,493,498,527,565,551
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",18,"   Educational services, health care, and social assistance",354,372,387,400,414,425
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",19,"   Educational services",327,345,360,372,386,398
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",20,"   Health care and social assistance",27,27,27,28,28,28
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",21,"  Arts, entertainment, recreation, accommodation, and food services",11687,11746,11722,12223,12424,12471
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",22,"   Arts, entertainment, and recreation",3549,3739,3962,4087,4245,4345
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",23,"   Accommodation and food services",8138,8007,7760,8136,8179,8126
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",24,"  Other services, except government",294,289,294,296,295,294
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",25," Government",453,436,423,407,400,404
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",26,"  Federal",6,6,6,6,6,6
 "44000","Rhode Island",1,SAOEMP,"Number of jobs",27,"  State and local",447,429,417,401,394,398
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
