GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",1,"All Industries",3644926,3698589,3789949,3993414,3993362,4135194
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",2," Private Industries",3463421,3497929,3577225,3761490,3749149,3880834
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",109099,130477,133186,138709,134039,138618
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",4,"  Mining",24320,18087,13008,8784,7579,14678
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",5,"  Utilities",14,15,13,15,17,17
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",6,"  Construction",41379,39718,40712,44574,52817,56720
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",7,"  Manufacturing",630228,671042,686448,726904,675127,712851
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",8,"   Durable goods",221389,238478,239692,283810,278700,312684
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",9,"   Nondurable goods",408838,432564,446757,443094,396427,400168
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",10,"  Wholesale trade",398483,400150,426457,441783,406857,403684
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",11,"  Retail trade",964911,984930,981132,1020823,1054672,1102575
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",279048,267569,271029,286273,288986,297295
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",13,"  Information",9235,9862,9935,10627,11034,11572
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",146851,131283,132726,150389,156803,156872
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",15,"   Finance and insurance",37118,33449,43024,49351,50935,48748
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",109733,97834,89701,101038,105868,108125
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",17,"  Professional and business services",57892,57092,61317,67005,70476,77241
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",29005,28547,30338,30655,31594,32491
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",19,"   Educational services",23007,22940,24535,24607,25346,26108
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",5999,5606,5802,6048,6248,6383
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",733707,719455,749661,791999,814223,828651
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",291944,303210,317526,320019,339562,354668
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",441763,416245,432135,471980,474661,473982
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",24,"  Other services, except government",39249,39701,41263,42950,44927,47571
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",25," Government",181505,200660,212723,231924,244213,254359
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",26,"  Federal",27541,31383,29919,28702,29263,29425
 "21000","Kentucky",5,SAOVA,"Thousands of dollars",27,"  State and local",153964,169277,182805,203222,214950,224934
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
