GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",1,"All Industries",10008493,10264854,10570399,11424545,11472652,11936052
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",2," Private Industries",9374087,9577983,9873230,10709124,10747446,11181670
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",133960,158265,153846,155327,143284,150679
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",4,"  Mining",111,96,93,75,72,110
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",5,"  Utilities",25,25,22,24,27,27
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",6,"  Construction",126704,122499,132758,162619,183138,197536
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",7,"  Manufacturing",1513831,1493835,1502657,1661854,1519907,1513993
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",8,"   Durable goods",411643,420280,433842,559901,432651,480648
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",9,"   Nondurable goods",1102188,1073556,1068815,1101953,1087256,1033345
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",10,"  Wholesale trade",904686,885518,926799,1000828,990698,987264
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",11,"  Retail trade",2313605,2444031,2443052,2567134,2606719,2798488
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",773074,833115,929982,1082152,1165860,1223557
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",13,"  Information",28272,29964,30442,33837,36345,41531
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",618525,613838,533236,592505,611598,622800
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",15,"   Finance and insurance",67836,60766,76980,88526,93966,93594
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",550689,553071,456256,503978,517632,529206
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",17,"  Professional and business services",93229,91363,96592,104315,108889,121650
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",85199,84000,89031,87991,89800,91698
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",19,"   Educational services",72065,71747,76230,74535,76082,77394
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",13134,12253,12801,13456,13718,14304
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",2663488,2699547,2907327,3126996,3152157,3286943
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",1114810,1151221,1213569,1224256,1321516,1391631
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",1548678,1548326,1693758,1902740,1830642,1895312
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",24,"  Other services, except government",119379,121887,127393,133467,138951,145396
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",25," Government",634405,686871,697169,715422,725205,754382
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",26,"  Federal",178284,204539,190003,184883,189517,191383
 "37000","North Carolina",5,SAOVA,"Thousands of dollars",27,"  State and local",456121,482333,507166,530538,535688,562999
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
