GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",1,"All Industries",2300799,2379664,2362697,2585105,2600766,2710336
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",2," Private Industries",2241101,2313961,2292338,2509501,2523747,2629758
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",7588,10064,9955,10343,8895,8578
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",4,"  Mining",7,6,5,4,4,6
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",5,"  Utilities",5,5,4,5,6,6
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",6,"  Construction",10145,12101,13234,13727,15854,17520
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",7,"  Manufacturing",201809,255709,221071,241667,246331,317346
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",8,"   Durable goods",166702,219270,184127,202849,205214,274293
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",9,"   Nondurable goods",35107,36440,36944,38818,41117,43053
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",10,"  Wholesale trade",171732,167483,174434,229333,179161,179318
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",11,"  Retail trade",679604,704727,708129,735868,739598,757303
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",67743,62554,59735,64740,70058,71262
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",13,"  Information",4842,5017,5049,5578,5805,6190
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",278577,270827,231414,272418,291759,294166
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",15,"   Finance and insurance",30306,26778,32704,35685,35585,33363
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",248271,244049,198710,236732,256174,260803
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",17,"  Professional and business services",20457,20103,21254,23347,24605,27660
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",21034,21063,22378,22602,23484,24315
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",19,"   Educational services",18124,18362,19578,19671,20472,21254
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",2910,2701,2800,2931,3012,3061
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",750954,757603,798312,862285,890318,897432
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",253726,253439,265113,269336,281596,294782
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",497228,504164,533199,592948,608722,602650
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",24,"  Other services, except government",26604,26701,27362,27584,27870,28656
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",25," Government",59698,65703,70358,75604,77019,80577
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",26,"  Federal",4800,5173,5226,5048,4980,4902
 "33000","New Hampshire",1,SAOVA,"Thousands of dollars",27,"  State and local",54897,60530,65132,70555,72039,75676
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
