GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",1,"All Industries",2078408,2159564,2163900,2280052,2269033,2314310
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",2," Private Industries",1871893,1940113,1930851,2037203,2020583,2054069
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",33043,39127,39381,36928,35079,36229
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",4,"  Mining",8623,8320,8006,5929,5282,7048
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",5,"  Utilities",5,5,5,5,6,6
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",6,"  Construction",41485,37600,42921,40963,41296,43454
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",7,"  Manufacturing",161204,153280,149092,138054,104598,122001
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",8,"   Durable goods",13277,13075,13173,13334,12463,13867
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",9,"   Nondurable goods",147927,140205,135920,124720,92134,108134
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",10,"  Wholesale trade",99605,98527,101314,106558,102168,101583
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",11,"  Retail trade",568316,593926,579503,600858,603931,617224
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",76335,76131,78955,81622,84356,85202
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",13,"  Information",5508,6084,6196,6475,6678,7248
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",154658,170939,148199,155600,166879,185928
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",15,"   Finance and insurance",30430,26924,33961,38656,40798,40147
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",124228,144015,114238,116944,126080,145781
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",17,"  Professional and business services",28311,27564,29232,31028,31866,34242
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",16170,15834,16766,17460,18427,19606
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",19,"   Educational services",13167,12993,13881,14385,15242,16327
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",3003,2841,2885,3076,3185,3279
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",658545,692607,710527,794487,798376,772027
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",142353,141575,149488,154472,166353,176106
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",516192,551033,561038,640015,632024,595921
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",24,"  Other services, except government",20085,20169,20753,21235,21641,22273
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",25," Government",206515,219450,233049,242850,248450,260241
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",26,"  Federal",38055,40565,40897,39823,42208,43330
 "35000","New Mexico",6,SAOVA,"Thousands of dollars",27,"  State and local",168459,178885,192152,203027,206242,216911
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
