GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "32000","Nevada",8,SAOVA,"Thousands of dollars",1,"All Industries",3639990,3687553,3806420,4051605,4282503,4462542
 "32000","Nevada",8,SAOVA,"Thousands of dollars",2," Private Industries",3296709,3325219,3424156,3647137,3861713,4020274
 "32000","Nevada",8,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",8069,8834,9365,9296,8725,9082
 "32000","Nevada",8,SAOVA,"Thousands of dollars",4,"  Mining",576,479,481,356,327,448
 "32000","Nevada",8,SAOVA,"Thousands of dollars",5,"  Utilities",34,35,31,37,43,45
 "32000","Nevada",8,SAOVA,"Thousands of dollars",6,"  Construction",96869,93541,136072,108034,103436,112534
 "32000","Nevada",8,SAOVA,"Thousands of dollars",7,"  Manufacturing",75119,79966,82060,85595,88986,93084
 "32000","Nevada",8,SAOVA,"Thousands of dollars",8,"   Durable goods",43856,46313,46631,48252,52044,56563
 "32000","Nevada",8,SAOVA,"Thousands of dollars",9,"   Nondurable goods",31263,33653,35430,37343,36942,36521
 "32000","Nevada",8,SAOVA,"Thousands of dollars",10,"  Wholesale trade",220513,215074,229133,260397,267721,271707
 "32000","Nevada",8,SAOVA,"Thousands of dollars",11,"  Retail trade",953031,993070,985652,1026722,1045607,1079368
 "32000","Nevada",8,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",584418,611546,662879,738851,797127,849044
 "32000","Nevada",8,SAOVA,"Thousands of dollars",13,"  Information",7508,8147,8498,9403,10719,11957
 "32000","Nevada",8,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",201914,226950,188330,199721,215406,218216
 "32000","Nevada",8,SAOVA,"Thousands of dollars",15,"   Finance and insurance",34229,30839,36836,40884,41961,40916
 "32000","Nevada",8,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",167685,196111,151493,158837,173445,177299
 "32000","Nevada",8,SAOVA,"Thousands of dollars",17,"  Professional and business services",71378,67574,68781,71430,72559,81389
 "32000","Nevada",8,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",22878,21414,22590,24019,25971,27362
 "32000","Nevada",8,SAOVA,"Thousands of dollars",19,"   Educational services",17318,16390,17475,18443,19851,20937
 "32000","Nevada",8,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",5560,5024,5115,5576,6120,6425
 "32000","Nevada",8,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",1016305,960181,990319,1071384,1181173,1219688
 "32000","Nevada",8,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",431148,431478,458198,460840,502428,536725
 "32000","Nevada",8,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",585157,528702,532121,610545,678745,682962
 "32000","Nevada",8,SAOVA,"Thousands of dollars",24,"  Other services, except government",38098,38409,39964,41890,43911,46351
 "32000","Nevada",8,SAOVA,"Thousands of dollars",25," Government",343281,362334,382263,404468,420790,442268
 "32000","Nevada",8,SAOVA,"Thousands of dollars",26,"  Federal",58501,62492,59109,58738,62414,63755
 "32000","Nevada",8,SAOVA,"Thousands of dollars",27,"  State and local",284781,299841,323154,345731,358376,378513
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
