GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",1,"All Industries",1205169,1256595,1257028,1349168,1379470,1391601
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",2," Private Industries",1157885,1203695,1200983,1288200,1315650,1324679
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",7194,8055,7559,7615,7349,7581
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",4,"  Mining",3,3,3,2,2,3
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",5,"  Utilities",1,1,1,1,1,1
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",6,"  Construction",8765,10284,11276,12502,14351,15521
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",7,"  Manufacturing",90822,90148,93945,97428,100134,91310
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",8,"   Durable goods",61789,59366,61422,63067,64458,58048
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",9,"   Nondurable goods",29033,30782,32523,34361,35676,33262
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",10,"  Wholesale trade",74048,71667,74749,80406,79727,77821
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",11,"  Retail trade",280526,296574,291555,308251,308091,308017
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",66233,62257,62852,66073,68257,68876
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",13,"  Information",3852,3985,4000,4335,4346,4504
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",68575,82170,65437,69165,75898,76209
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",15,"   Finance and insurance",15368,13607,17120,19078,19415,18428
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",53207,68562,48318,50088,56483,57781
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",17,"  Professional and business services",42821,41652,43194,46644,47849,53382
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",15569,15681,16333,16439,16979,17090
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",19,"   Educational services",12724,12958,13584,13511,13937,14019
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",2845,2723,2749,2928,3041,3071
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",481933,503670,511786,560285,572706,583321
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",126814,130403,138797,145535,154585,163119
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",355119,373266,372989,414750,418121,420202
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",24,"  Other services, except government",17543,17550,18293,19054,19960,21044
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",25," Government",47284,52901,56045,60968,63821,66922
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",26,"  Federal",2751,3220,3045,2814,2737,2811
 "44000","Rhode Island",1,SAOVA,"Thousands of dollars",27,"  State and local",44533,49680,53001,58154,61084,64112
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
