GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",1,"All Industries",5399768,5507544,5659934,6038053,6098458,6853918
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",2," Private Industries",5174465,5258110,5378886,5716447,5750021,6487440
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",95728,109470,105618,118534,103762,120574
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",4,"  Mining",217,189,196,172,167,227
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",5,"  Utilities",9,10,8,9,10,10
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",6,"  Construction",54088,59189,68993,75989,85971,94275
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",7,"  Manufacturing",703618,746608,738437,741931,736868,855561
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",8,"   Durable goods",549610,594193,579842,579908,571619,697079
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",9,"   Nondurable goods",154008,152415,158595,162023,165249,158482
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",10,"  Wholesale trade",354362,354501,370054,399928,399805,409482
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",11,"  Retail trade",1389158,1444818,1474936,1540389,1555821,1702804
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",105715,110616,113740,117126,117715,119234
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",13,"  Information",10525,11496,11702,12779,13541,14741
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",313747,341794,296586,326358,348903,371669
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",15,"   Finance and insurance",35077,31386,40064,45384,47632,45180
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",278670,310408,256522,280974,301271,326489
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",17,"  Professional and business services",41536,40965,43626,48685,53473,63776
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",33387,31001,33045,34324,34686,37585
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",19,"   Educational services",24814,23289,24908,25593,26054,28086
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",8573,7712,8137,8731,8632,9499
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",2014077,1948502,2059965,2234287,2229726,2622649
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",465106,465638,491009,503191,532555,560882
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",1548971,1482863,1568956,1731096,1697171,2061767
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",24,"  Other services, except government",58297,58953,61979,65936,69574,74852
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",25," Government",225303,249433,281048,321607,348437,366478
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",26,"  Federal",23753,27088,25717,24852,25221,25578
 "45000","South Carolina",5,SAOVA,"Thousands of dollars",27,"  State and local",201550,222345,255331,296755,323215,340900
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
