GeoFIPS,GeoName,Region,TableName,Unit,LineCode,Description,2012,2013,2014,2015,2016,2017
 "48000","Texas",6,SAOVA,"Thousands of dollars",1,"All Industries",29596246,31280199,31969868,33533816,32281895,34565594
 "48000","Texas",6,SAOVA,"Thousands of dollars",2," Private Industries",28587861,30219528,30852856,32353784,31056986,33278498
 "48000","Texas",6,SAOVA,"Thousands of dollars",3,"  Agriculture, forestry, fishing, and hunting",769880,921337,928205,1059488,913392,953048
 "48000","Texas",6,SAOVA,"Thousands of dollars",4,"  Mining",95985,103439,110956,81907,72698,83678
 "48000","Texas",6,SAOVA,"Thousands of dollars",5,"  Utilities",103,109,96,111,129,135
 "48000","Texas",6,SAOVA,"Thousands of dollars",6,"  Construction",422857,446113,488698,518908,582517,625572
 "48000","Texas",6,SAOVA,"Thousands of dollars",7,"  Manufacturing",7294623,7807713,7832569,7756097,5977708,7283778
 "48000","Texas",6,SAOVA,"Thousands of dollars",8,"   Durable goods",735630,779681,807773,830679,798933,882309
 "48000","Texas",6,SAOVA,"Thousands of dollars",9,"   Nondurable goods",6558993,7028032,7024796,6925418,5178775,6401469
 "48000","Texas",6,SAOVA,"Thousands of dollars",10,"  Wholesale trade",3072930,3125751,3236157,3300171,3139101,3312228
 "48000","Texas",6,SAOVA,"Thousands of dollars",11,"  Retail trade",7346114,8115829,8018495,8417076,8360885,8488429
 "48000","Texas",6,SAOVA,"Thousands of dollars",12,"  Transportation and warehousing",3014707,3207490,3425484,3912331,4160657,4311555
 "48000","Texas",6,SAOVA,"Thousands of dollars",13,"  Information",97960,107383,109427,119360,124436,133295
 "48000","Texas",6,SAOVA,"Thousands of dollars",14,"  Finance, insurance, real estate, rental, and leasing",1096316,1062288,1029902,1193444,1271925,1308366
 "48000","Texas",6,SAOVA,"Thousands of dollars",15,"   Finance and insurance",258079,235221,287062,331025,347238,348112
 "48000","Texas",6,SAOVA,"Thousands of dollars",16,"   Real estate and rental and leasing",838237,827067,742840,862418,924688,960254
 "48000","Texas",6,SAOVA,"Thousands of dollars",17,"  Professional and business services",366123,358882,381577,419553,446213,507062
 "48000","Texas",6,SAOVA,"Thousands of dollars",18,"   Educational services, health care, and social assistance",184784,185801,199974,206685,219553,231556
 "48000","Texas",6,SAOVA,"Thousands of dollars",19,"   Educational services",152845,155655,168516,173497,184189,194772
 "48000","Texas",6,SAOVA,"Thousands of dollars",20,"   Health care and social assistance",31939,30146,31458,33188,35364,36784
 "48000","Texas",6,SAOVA,"Thousands of dollars",21,"  Arts, entertainment, recreation, accommodation, and food services",4476613,4418991,4715984,4975237,5381057,5616580
 "48000","Texas",6,SAOVA,"Thousands of dollars",22,"   Arts, entertainment, and recreation",2558151,2587285,2770689,2877071,3134717,3385750
 "48000","Texas",6,SAOVA,"Thousands of dollars",23,"   Accommodation and food services",1918462,1831706,1945295,2098165,2246340,2230830
 "48000","Texas",6,SAOVA,"Thousands of dollars",24,"  Other services, except government",348866,358403,375332,393416,406715,423216
 "48000","Texas",6,SAOVA,"Thousands of dollars",25," Government",1008385,1060671,1117012,1180032,1224909,1287097
 "48000","Texas",6,SAOVA,"Thousands of dollars",26,"  Federal",79043,87852,81415,78075,82761,87558
 "48000","Texas",6,SAOVA,"Thousands of dollars",27,"  State and local",929342,972819,1035597,1101956,1142148,1199538
"Note: See the included footnote file."
"Last updated: September 20, 2019."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
