"","state","year","years_since_other_party","change_counter","years_till_change","change_within_4years","change_next_year","Population","LF_population","LF_population_percent","employed_population","participation_rate","unemployed_population","unemployment_rate","gdp_change","gdp","gdp_pchange","gdp_ma8","gdp_ma4","uer_ma8","uer_ma4","gdp_ma4_8_diff","uer_ma4_8_diff"
"1","Alabama",1977,-40,0,9,FALSE,FALSE,2688916.66666667,1568599.75,58.35,1453876.91666667,54.0583333333333,114722.833333333,7.31666666666667,NA,59478.4,NA,NA,NA,NA,NA,NA,NA
"2","Alabama",1978,-41,0,8,FALSE,FALSE,2745083.33333333,1621253.5,59.0583333333333,1518555.75,55.325,102697.75,6.31666666666667,3819.6,63298,6.03,NA,NA,NA,NA,NA,NA
"3","Alabama",1979,-42,0,7,FALSE,FALSE,2790583.33333333,1656564.08333333,59.3416666666667,1537703.75,55.1,118860.333333333,7.175,1689.6,64987.6,2.6,NA,NA,NA,NA,NA,NA
"4","Alabama",1980,-43,0,6,FALSE,FALSE,2829250,1669343.08333333,59.0083333333333,1521130.83333333,53.7666666666667,148212.25,8.88333333333333,-405.299999999996,64582.3,-0.63,NA,63086.575,NA,7.42291666666667,NA,NA
"5","Alabama",1981,-44,0,5,FALSE,FALSE,2864250,1677500.08333333,58.5583333333333,1500420.91666667,52.375,177079.166666667,10.5333333333333,1188.7,65771,1.81,NA,64659.725,NA,8.22708333333333,NA,NA
"6","Alabama",1982,-45,0,4,FALSE,FALSE,2889583.33333333,1716407.33333333,59.3833333333333,1474267,51.0333333333333,242140.333333333,14.0833333333333,-1636.9,64134.1,-2.55,NA,64868.75,NA,10.16875,NA,NA
"7","Alabama",1983,-46,0,3,FALSE,FALSE,2911083.33333333,1757088.5,60.3666666666667,1514302.33333333,52.0083333333333,242786.166666667,13.8333333333333,3170.9,67305,4.71,NA,65448.1,NA,11.8333333333333,NA,NA
"8","Alabama",1984,-47,0,2,FALSE,FALSE,2939000,1788573.33333333,60.8583333333333,1591387.41666667,54.1416666666667,197185.916666667,11,3176.39999999999,70481.4,4.51,65004.725,66922.875,9.89270833333333,12.3625,1918.15000000001,2.46979166666667
"9","Alabama",1985,-48,0,1,FALSE,FALSE,2969083.33333333,1802816.16666667,60.7166666666667,1637886.58333333,55.1666666666667,164929.583333333,9.14166666666667,3319.90000000001,73801.3,4.5,66795.0875,68930.45,10.1208333333333,12.0145833333333,2135.3625,1.89375
"10","Alabama",1986,-49,0,0,FALSE,FALSE,3001083.33333333,1861185.33333333,62.025,1680463.5,56,180721.833333333,9.70833333333333,756.699999999997,74558,1.01,68202.5875,71536.425,10.5447916666667,10.9208333333333,3333.83750000001,0.376041666666667
"11","Alabama",1987,0,1,6,FALSE,FALSE,3035833.33333333,1869051.41666667,61.575,1718154.75,56.5916666666667,150896.666666667,8.05833333333333,4101.10000000001,78659.1,5.21,69911.525,74374.95,10.6552083333333,9.47708333333333,4463.42500000002,-1.178125
"12","Alabama",1988,1,1,5,FALSE,FALSE,3057500,1877690.08333333,61.4083333333333,1742445.16666667,57,135244.916666667,7.19166666666667,3848.39999999999,82507.5,4.66,72152.175,77381.475,10.44375,8.525,5229.30000000002,-1.91875
"13","Alabama",1989,2,1,4,FALSE,FALSE,3072833.33333333,1896659.91666667,61.7333333333333,1762935.08333333,57.3666666666667,133724.833333333,7.04166666666667,-99.8000000000029,82407.7,-0.12,74231.7625,79533.075,10.0072916666667,8,5301.31250000003,-2.00729166666667
"14","Alabama",1990,3,1,3,FALSE,FALSE,3072395.16666667,1907138.25,62.075,1777608.16666667,57.85,129530.083333333,6.79166666666667,1358.7,83766.4,1.62,76685.8,81835.175,9.09583333333334,7.27083333333333,5149.37500000003,-1.825
"15","Alabama",1991,4,1,2,FALSE,FALSE,3115005.25,1921074.08333333,61.6666666666667,1779884.83333333,57.125,141189.25,7.35,2349.10000000001,86115.5,2.73,79037.1125,83699.275,8.28541666666667,7.09375,4662.16250000003,-1.19166666666667
"16","Alabama",1992,5,1,1,FALSE,FALSE,3151380.25,1965232.75,62.3583333333333,1816349.91666667,57.6416666666667,148882.833333333,7.56666666666667,3698.39999999999,89813.9,4.12,81453.675,85525.875,7.85625,7.1875,4072.20000000004,-0.668750000000002
"17","Alabama",1993,0,2,2,TRUE,FALSE,3194255.25,2004280.5,62.7416666666667,1856783.33333333,58.1333333333333,147497.166666667,7.36666666666667,1353.70000000001,91167.6,1.48,83624.4625,87715.85,7.634375,7.26875,4091.38750000004,-0.365625000000002
"18","Alabama",1994,-1,2,1,TRUE,FALSE,3228880.25,2026190.66666667,62.7583333333333,1900762.83333333,58.8666666666667,125427.833333333,6.19166666666667,3635.5,94803.1,3.83,86155.1,90475.025,7.19479166666667,7.11875,4319.92500000005,-0.0760416666666686
"19","Alabama",1995,0,3,4,TRUE,FALSE,3253838.58333333,2067113.75,63.5333333333333,1944018.5,59.75,123095.25,5.95,3220.79999999999,98023.9,3.29,88575.7,93452.125,6.93125,6.76875,4876.42500000005,-0.162500000000003
"20","Alabama",1996,1,3,3,TRUE,FALSE,3284630.25,2086527.5,63.5083333333333,1977535.41666667,60.2083333333333,108992.083333333,5.225,3355.40000000001,101379.3,3.31,90934.675,96343.475,6.68541666666667,6.18333333333333,5408.80000000005,-0.502083333333336
"21","Alabama",1997,2,3,2,TRUE,FALSE,3310671.91666667,2133402.91666667,64.45,2027146.58333333,61.225,106256.333333333,4.975,3425.89999999999,104805.2,3.27,93734.3625,99752.875,6.42708333333334,5.58541666666667,6018.51250000004,-0.84166666666667
"22","Alabama",1998,3,3,1,TRUE,FALSE,3342046.91666667,2136577.25,63.925,2042829.91666667,61.1166666666667,93747.3333333333,4.39166666666667,226.559999999998,105031.76,0.22,96392.5325,102310.04,6.12708333333334,5.13541666666667,5917.50750000005,-0.991666666666671
